symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
GBPCAD,0.0,1555,45.98,0.379,1.45,30.8,13.37
GBPCAD,0.15,1259,43.37,0.301,1.3,15.4,3.06
GBPCAD,0.3,908,41.41,0.242,1.2,15.4,1.1
GBPCAD,0.8,168,36.9,0.107,1.04,7.7,-7.25
GBPCAD,0.5,542,39.67,0.19,1.13,0.0,-8.33
