symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
AUDUSD,0.0,477,45.49,0.365,1.51,53.8,24.42
AUDUSD,0.15,390,39.74,0.192,1.2,7.7,-4.41
AUDUSD,0.3,275,37.82,0.135,1.09,0.0,-10.18
AUDUSD,0.5,181,33.7,0.011,0.9,0.0,-14.3
AUDUSD,0.8,60,35.0,0.05,1.14,0.0,-23.0
