symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
GBPAUD,0.0,564,43.44,0.303,1.35,30.8,10.82
GBPAUD,0.15,460,40.87,0.226,1.21,15.4,0.56
GBPAUD,0.3,346,41.04,0.231,1.22,0.0,-6.96
GBPAUD,0.5,196,40.82,0.224,1.27,0.0,-7.18
GBPAUD,0.8,59,40.68,0.22,1.28,0.0,-17.32
