symbol,trades,wins,win_rate,avg_R,expectancy_R,profit_factor
EURUSD,679,317,46.68630338733431,0.2710097214519705,0.4005891016200295,1.5394831220210548
GBPUSD,709,313,44.14668547249647,0.2217533197048332,0.32440056417489416,1.417021356727892
AUDUSD,728,302,41.48351648351649,0.17224018965263968,0.24450549450549464,1.309817322192384
NZDUSD,700,294,42.0,0.16810112452925033,0.2599999999999999,1.3000953597611054
USDCAD,717,341,47.559274755927476,0.2838553669758737,0.42677824267782427,1.577337771934555
USDCHF,644,272,42.2360248447205,0.15907342747723738,0.26708074534161497,1.2927203957170859
USDJPY,707,302,42.71570014144272,0.1488798314466951,0.2814710042432814,1.2729864128290325
EURJPY,640,268,41.875,0.16368181542811966,0.25625,1.2969299812715518
GBPJPY,644,293,45.49689440993789,0.22734544324057168,0.3649068322981367,1.4357384762941257
AUDJPY,660,293,44.3939393939394,0.21835373238858813,0.3318181818181819,1.4079801385826922
NZDJPY,705,294,41.702127659574465,0.16760216846082182,0.25106382978723396,1.294714762603446
CADJPY,760,338,44.473684210526315,0.228737195362706,0.3342105263157894,1.4364386670059806
CHFJPY,592,239,40.37162162162162,0.10242664099184616,0.21114864864864868,1.176339422318849
EURGBP,564,251,44.50354609929078,0.22458962185923548,0.3351063829787234,1.4325014226320791
EURAUD,647,280,43.27666151468315,0.1912035678367552,0.2982998454404945,1.349754334835099
EURCAD,666,292,43.84384384384384,0.21339724774544347,0.3153153153153153,1.3963984953699404
EURCHF,575,259,45.04347826086956,0.22470260378710386,0.3513043478260869,1.4293649494734482
GBPAUD,650,257,39.53846153846154,0.08686724264254297,0.18615384615384623,1.149239183857207
GBPNZD,600,240,40.0,0.11660415370995224,0.20000000000000007,1.2014757656185893
GBPCAD,607,247,40.691927512355846,0.12711900716896024,0.22075782537067534,1.22480290377402
GBPCHF,581,238,40.963855421686745,0.12707271856725957,0.22891566265060237,1.225740055468352
AUDCAD,699,311,44.49213161659514,0.2729222340463949,0.33476394849785407,1.518438875708317
AUDCHF,631,276,43.74009508716323,0.22578914141589168,0.312202852614897,1.4213953345836732
AUDNZD,694,261,37.60806916426513,0.06426299080027599,0.12824207492795392,1.1039376148842894
CADCHF,564,273,48.40425531914894,0.3183585639437823,0.4521276595744681,1.6467494447538293
USDMXN,659,344,52.20030349013657,0.43619412004560104,0.566009104704097,1.97002943992705
USDTRY,1001,187,18.681318681318682,-0.4974531594864101,-0.43956043956043955,0.38035872284811617
EURSEK,547,254,46.435100548446066,0.2849769130521427,0.393053016453382,1.5626724364949878
EURTRY,854,295,34.54332552693209,-0.032688822184330536,0.03629976580796257,0.9487120381611238
XAUUSD,665,335,50.37593984962406,0.3757334467527398,0.5112781954887219,1.8033536405639021
