symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
EURAUD,2025Q4,58,26,44.83,0.167,1.32,False
EURAUD,2026Q1,33,17,51.52,0.405,1.84,True
EURCAD,2023Q1,42,22,52.38,0.439,1.93,True
EURCAD,2023Q2,52,28,53.85,0.483,2.15,True
EURCAD,2023Q3,63,30,47.62,0.309,1.63,False
EURCAD,2023Q4,49,19,38.78,0.164,1.28,False
EURCAD,2024Q1,44,21,47.73,0.165,1.32,False
EURCAD,2024Q2,61,25,40.98,0.121,1.21,False
EURCAD,2024Q3,33,17,51.52,0.413,2.01,True
EURCAD,2024Q4,68,29,42.65,0.226,1.4,False
EURCAD,2025Q1,46,22,47.83,0.266,1.55,False
EURCAD,2025Q2,67,24,35.82,-0.015,0.98,False
EURCAD,2025Q3,57,21,36.84,0.024,1.04,False
EURCAD,2025Q4,65,25,38.46,0.132,1.22,False
EURCAD,2026Q1,19,9,47.37,0.325,1.62,False
EURCHF,2023Q1,45,12,26.67,-0.155,0.76,False
EURCHF,2023Q2,64,32,50.0,0.357,1.73,True
EURCHF,2023Q3,42,17,40.48,0.153,1.27,False
EURCHF,2023Q4,41,22,53.66,0.495,2.22,True
EURCHF,2024Q1,44,22,50.0,0.28,1.59,True
EURCHF,2024Q2,48,23,47.92,0.218,1.42,False
EURCHF,2024Q3,43,22,51.16,0.389,1.8,True
EURCHF,2024Q4,45,21,46.67,0.249,1.47,False
EURCHF,2025Q1,41,19,46.34,0.342,1.66,False
EURCHF,2025Q2,43,17,39.53,0.004,1.01,False
EURCHF,2025Q3,48,23,47.92,0.301,1.64,False
EURCHF,2025Q4,56,21,37.5,0.018,1.03,False
EURCHF,2026Q1,15,8,53.33,0.417,1.89,False
GBPAUD,2023Q1,70,22,31.43,-0.129,0.8,False
GBPAUD,2023Q2,52,22,42.31,0.123,1.22,False
GBPAUD,2023Q3,60,20,33.33,-0.094,0.86,False
GBPAUD,2023Q4,57,16,28.07,-0.227,0.68,False
GBPAUD,2024Q1,37,20,54.05,0.351,1.76,True
GBPAUD,2024Q2,60,27,45.0,0.257,1.51,False
GBPAUD,2024Q3,45,19,42.22,0.108,1.2,False
GBPAUD,2024Q4,55,23,41.82,0.152,1.27,False
GBPAUD,2025Q1,54,21,38.89,0.141,1.23,False
GBPAUD,2025Q2,48,15,31.25,-0.143,0.78,False
GBPAUD,2025Q3,57,22,38.6,0.111,1.2,False
