symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
AUDCHF,0.0,412,48.3,0.449,1.67,46.2,23.38
AUDCHF,0.15,317,43.22,0.297,1.37,7.7,-0.94
AUDCHF,0.3,241,41.08,0.232,1.25,0.0,-6.92
AUDCHF,0.5,110,39.09,0.173,1.27,0.0,-18.91
AUDCHF,0.8,25,36.0,0.08,1.11,0.0,-22.0
