symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
USDJPY,0.0,486,47.53,0.426,1.52,38.5,18.76
USDJPY,0.15,411,43.31,0.299,1.28,0.0,-4.69
USDJPY,0.3,324,41.98,0.259,1.21,0.0,-6.02
USDJPY,0.5,181,40.88,0.227,1.13,0.0,-7.12
USDJPY,0.8,60,43.33,0.3,1.19,0.0,-14.67
