entry_time,exit_time,side,entry_spread,exit_spread,entry_z,exit_z,gross_pnl,cost,net_pnl,duration_bars,duration_days,exit_reason,window_idx,train_beta,y,x
2024-03-21 15:00:00+02:00,2024-04-01 00:00:00+03:00,1,0.009960926485745647,-0.0029483999813029182,-2.127173675396235,-2.7511221274205835,-0.012909326467048565,0.0012666666666666666,-0.014175993133715231,40,6.666666666666667,end_of_window,0,-0.28939460586142074,NZDCAD,CHFJPY
2024-05-17 08:00:00+03:00,2024-07-01 00:00:00+03:00,-1,0.020689706721080114,0.02411202614077762,2.0557029574250403,0.478549612780079,-0.003422319419697506,0.003783333333333333,-0.007205652753030839,191,31.833333333333332,mean_revert,1,-0.12824122499510432,NZDCAD,CHFJPY
2024-07-25 16:00:00+03:00,2024-07-31 16:00:00+03:00,1,-0.019433115240440335,-0.00482298559475991,-2.163657934630947,-0.48221979276612886,0.014610129645680425,0.0010166666666666666,0.01359346297901376,25,4.166666666666667,mean_revert,2,0.3290401502136637,NZDCAD,CHFJPY
2024-08-24 00:00:00+03:00,2024-10-01 00:00:00+03:00,-1,0.020601437340793893,0.040188281419827776,2.1305028996138557,2.0107092420566803,-0.019586844079033883,0.0033,-0.022886844079033884,162,27.0,end_of_window,2,0.3290401502136637,NZDCAD,CHFJPY
2024-10-31 15:00:00+02:00,2024-11-27 15:00:00+02:00,1,-0.0092466805982645,0.0006788660798873192,-2.0441869138773487,-0.4159090440381854,0.00992554667815182,0.0025,0.007425546678151819,114,19.0,mean_revert,3,0.23571992172101924,NZDCAD,CHFJPY
2024-12-19 15:00:00+02:00,2024-12-31 23:00:00+02:00,1,-0.023877688149135823,-0.03221371526690464,-2.1102714768011372,-2.5464134753011067,-0.008336027117768818,0.0013333333333333333,-0.009669360451102152,44,7.333333333333333,end_of_window,3,0.23571992172101924,NZDCAD,CHFJPY
2025-03-06 03:00:00+02:00,2025-03-24 19:00:00+02:00,-1,-0.0050130707395638074,-0.012017853710761583,2.0407897665726433,0.39639389584334533,0.007004782971197776,0.0019166666666666663,0.00508811630453111,79,13.166666666666666,mean_revert,4,0.1238032229329716,NZDCAD,CHFJPY
2025-07-23 00:00:00+03:00,2025-07-23 16:00:00+03:00,1,-0.013657506208111958,-0.005334512916266465,-2.1329639447603967,-0.48388648110731997,0.008322993291845493,0.0006666666666666666,0.007656326625178826,4,0.6666666666666666,mean_revert,6,0.03892606335581915,NZDCAD,CHFJPY
2025-07-31 00:00:00+03:00,2025-08-12 20:00:00+03:00,1,-0.01396444515114742,-0.007423713660577869,-2.0500821308089385,-0.4179405165722886,0.006540731490569551,0.0015166666666666666,0.005024064823902885,55,9.166666666666666,mean_revert,6,0.03892606335581915,NZDCAD,CHFJPY
2025-08-20 08:00:00+03:00,2025-09-05 16:00:00+03:00,1,-0.020262723489840873,-0.011992736505470558,-2.481974489590898,-0.2860538352261741,0.008269986984370314,0.0018666666666666666,0.006403320317703648,76,12.666666666666666,mean_revert,6,0.03892606335581915,NZDCAD,CHFJPY
2025-09-19 20:00:00+03:00,2025-10-01 00:00:00+03:00,1,-0.02426767252826717,-0.02505135326837299,-2.017323665076451,-1.59334587857365,-0.0007836807401058188,0.00135,-0.002133680740105819,45,7.5,end_of_window,6,0.03892606335581915,NZDCAD,CHFJPY
2025-11-04 11:00:00+02:00,2025-11-26 07:00:00+02:00,1,-0.026250319352516566,-0.020161616346555,-2.054565738552573,-0.3672298864843817,0.0060887030059615654,0.002183333333333333,0.0039053696726282323,95,15.833333333333334,mean_revert,7,-0.03128433114309541,NZDCAD,CHFJPY
2026-01-27 07:00:00+02:00,2026-03-02 23:00:00+02:00,-1,0.02238506376590943,0.015200694693685568,3.3874461548167383,0.4928710875411967,0.007184369072223862,0.0030666666666666668,0.004117702405557195,148,24.666666666666668,mean_revert,8,-0.14603807309176978,NZDCAD,CHFJPY
2024-03-20 19:00:00+02:00,2024-04-01 00:00:00+03:00,1,-0.014472544064506987,-0.023784331499813793,-2.124002997786071,-2.5328979962844125,-0.009311787435306806,0.00135,-0.010661787435306807,45,7.5,end_of_window,0,0.23256762887028434,NZDCAD,EURCAD
2024-05-28 04:00:00+03:00,2024-07-01 00:00:00+03:00,-1,0.01224528399101027,0.009642078186878178,2.0890421251704874,0.6159823837613247,0.0026032058041320916,0.0030666666666666668,-0.0004634608625345752,148,24.666666666666668,end_of_window,1,0.6797905187459693,NZDCAD,EURCAD
