y,x,beta,half_life_hours,n_trades,total_pnl,avg_pnl,hit_rate,sharpe,max_dd,avg_duration_days,n_trades_is,total_pnl_is,avg_pnl_is,hit_rate_is,sharpe_is,max_dd_is,avg_duration_days_is,n_trades_oos,total_pnl_oos,avg_pnl_oos,hit_rate_oos,sharpe_oos,max_dd_oos,avg_duration_days_oos
GBPUSD,CADCHF,-0.514147026297656,429.6265761759481,27,0.08726472156623982,0.003232026724675549,0.7037037037037037,0.5183816430664242,-0.021810572344234322,14.234567901234565,19,0.0970485105989699,0.0051078163473142054,0.6842105263157895,1.923806731617584,-0.021810572344234322,17.085526315789473,3,0.034383526346570145,0.011461175448856714,1.0,26.773798750856393,0.0,6.166666666666667
GBPUSD,NZDCHF,-0.3910067379524195,461.5072990945345,26,0.16210989076016843,0.006234995798468017,0.8076923076923077,0.8770824621704575,-0.01922972033416194,16.221153846153847,19,0.1842809255188846,0.009698996079941295,0.8421052631578947,3.134044891373147,-0.019229720334161954,18.890350877192983,2,0.02465026120496576,0.01232513060248288,1.0,10.582165588976627,0.0,12.291666666666668
NZDCAD,USDCAD,-0.3534719216001653,425.5095090040157,27,0.08877184564345143,0.0032878461349426457,0.7777777777777778,1.0734079266686034,-0.06537283035717985,12.606481481481481,22,0.04032702837530062,0.0018330467443318462,0.7272727272727273,0.5309158073395237,-0.028266642442719127,13.532196969696969,2,0.013556005323768503,0.006778002661884251,1.0,6.989322183876817,0.0,15.020833333333334
NZDCAD,NZDUSD,0.4564687994916459,451.1268320056115,36,0.02721609234393262,0.0007560025651092394,0.6666666666666666,0.47797272727442225,-0.05078316187941962,9.288194444444446,30,0.04584410630258954,0.0015281368767529847,0.6666666666666666,1.498119269231955,-0.017033157848760305,8.8625,3,0.011499368832485493,0.003833122944161831,0.6666666666666666,5.4412816513335995,0.0,10.416666666666668
NZDCAD,GBPAUD,-0.2592590176096122,385.0738930609172,22,0.01626228555975445,0.0007391947981706567,0.7727272727272727,0.19878254489735225,-0.04266925401134812,17.723484848484848,18,0.028912929885619255,0.001606273882534403,0.7777777777777778,0.5580233726039148,-0.013348563428411162,17.340277777777775,2,0.009077498118635414,0.004538749059317707,1.0,4.5364682656160715,0.0,20.770833333333336
GBPNZD,NZDCHF,-0.757190755501471,492.9375527021994,31,0.041468302387271685,0.0013376871737829576,0.41935483870967744,0.3810853046607074,-0.034395142912738194,9.654569892473118,25,0.03461393981477795,0.001384557592591118,0.4,0.674210693692169,-0.034395142912738194,10.015,2,0.008538898266369452,0.004269449133184726,0.5,3.2079873441497546,-0.00017358835339611849,16.375
NZDCAD,EURAUD,-0.2951726256215231,361.3167144675042,25,0.02604289757378868,0.0010417159029515472,0.76,0.27249699420089285,-0.08017536884333346,16.76833333333333,20,-0.0006210667759245694,-3.105333879622847e-05,0.75,-0.007259304419328447,-0.017185228727262608,17.220833333333335,3,0.008196025261697031,0.002732008420565677,0.6666666666666666,3.146417220074913,-0.00016029040831647134,17.23611111111111
NZDCAD,EURNZD,-0.2625160028395253,351.35175518919743,29,0.07291711278781739,0.0025143831995799097,0.7931034482758621,0.7307441340232146,-0.08036729327519673,13.231321839080461,23,0.03970014112296545,0.0017260930923028456,0.782608695652174,0.4461497179233886,-0.019100990792707287,14.132246376811596,4,0.017958273133143226,0.0044895682832858065,0.75,2.180277586280332,-0.014713594147264229,8.854166666666668
NZDCAD,AUDCHF,0.2102558194639634,349.1517947303413,27,0.04967650350735916,0.0018398705002725614,0.7777777777777778,0.6317829501558413,-0.05440354333748221,14.751543209876544,22,0.031625751578977304,0.0014375341626807865,0.8181818181818182,0.45819514226295266,-0.02897895331841322,15.229166666666668,4,0.018474762329911618,0.004618690582477904,0.75,2.1693729007599325,-0.01380330931622642,10.739583333333332
NZDCHF,EURCAD,-1.540047465308009,450.7885110092399,61,0.14480645607196668,0.0023738763290486343,0.45901639344262296,1.0547255997739913,-0.09977687800918238,5.1154371584699465,44,0.06484865382076406,0.0014738330413810014,0.45454545454545453,0.5781947055772596,-0.05535902765436807,6.28125,16,0.015806162523716204,0.0009878851577322628,0.4375,1.366943582354686,-0.036381957197462525,1.8229166666666665
EURCAD,EURNZD,0.7371041142827061,374.54309746244655,26,0.06900402569794484,0.0026540009883824936,0.8461538461538461,0.8381916742306691,-0.06917762956721876,13.7724358974359,22,0.0453643161851349,0.0020620143720515866,0.8636363636363636,0.5974547402194119,-0.016402862853684162,14.164772727272727,2,0.004872656816476056,0.002436328408238028,0.5,1.3516243686727725,-0.0037738444422662117,15.375
NZDCAD,EURCAD,-0.1926357217784332,365.0211095871095,25,0.055248211548869997,0.0022099284619548,0.8,0.5516317551496177,-0.08460648390770627,15.623333333333333,22,0.05374156503124518,0.0024427984105111445,0.8636363636363636,0.5842963778430029,-0.03761257822639127,15.138257575757576,2,0.005247055341736629,0.0026235276708683145,0.5,1.2125251740977354,-0.00485635784620134,15.270833333333334
GBPCHF,EURNZD,-0.3095653460089045,441.72205572553565,26,0.11434897864878722,0.00439803764033797,0.6153846153846154,1.0436604304290482,-0.03139056552733184,11.482371794871794,21,0.09938763512430467,0.0047327445297287935,0.6666666666666666,1.864927834908199,-0.03139056552733184,11.964285714285715,2,0.003164453897616812,0.001582226948808406,0.5,0.5999880720456268,-0.006425631931410131,19.791666666666668
NZDCAD,EURCHF,0.4488058102451758,356.102325800077,46,0.05085997230306323,0.0011056515718057224,0.5652173913043478,0.7092767043893109,-0.04402928013708346,8.289855072463768,37,0.03542857614922415,0.0009575290851141662,0.5945945945945946,0.5849953868499582,-0.03775225541920276,8.588963963963964,7,0.0013115428501308604,0.00018736326430440864,0.2857142857142857,0.16835088114653016,-0.0095338562862517,4.363095238095238
NZDCAD,GBPNZD,-0.2430211066820224,361.98625415828855,24,0.01763728945366429,0.0007348870605693455,0.75,0.23949015408288069,-0.04381030504765489,15.399305555555557,21,0.03657791964465112,0.001741805697364339,0.8095238095238095,0.673065195780276,-0.019465440352447815,14.799603174603172,1,-0.0024981643533020176,-0.0024981643533020176,0.0,0.0,0.0,28.75
