y,x,alpha,beta,adf_p,half_life_bars,resid_std,half_life_hours,max_third,max_third_corr,synthetic_flag
NZDCAD,CHFJPY,0.586894599527864,-0.1523033127900755,4.3600186961703364e-05,318.9179129474391,0.014918159182085439,318.9179129474391,NZDUSD,0.8066026843398938,False
NZDCAD,EURJPY,0.7464245035831939,-0.1851092834675264,4.955783116667704e-05,324.7243011094508,0.015209132833434696,324.7243011094508,NZDUSD,0.8097324204315806,False
NZDCAD,NZDCHF,-0.06818095574536566,0.1940319747394461,5.914890354187196e-05,347.19111378640207,0.013817935997417041,347.19111378640207,NZDUSD,0.7508122644372802,False
EURCAD,EURNZD,-0.03573523153268387,0.7371041142827061,5.9774374219259056e-05,374.54309746244655,0.013623408564183771,374.54309746244655,NZDCAD,0.9478739533912055,False
NZDCAD,CADCHF,-0.1198621048725826,0.16350487122677615,6.117449898704712e-05,347.79814631736195,0.016601660012038815,347.79814631736195,NZDUSD,0.772349757978898,False
NZDCAD,GBPCHF,-0.2341191096496967,0.3735271160568129,8.647662199388838e-05,373.6715489770092,0.016982035533399695,373.6715489770092,NZDUSD,0.7424947909151165,False
NZDCAD,EURNZD,-0.03614989441355128,-0.26251600283952536,8.922551567087703e-05,351.35175518919743,0.013629228723456678,351.35175518919743,AUDCAD,0.7405408878695064,False
NZDCAD,AUDCHF,-0.07641113249050487,0.21025581946396343,9.143144433897616e-05,349.15179473034135,0.014675879440280017,349.15179473034135,NZDUSD,0.7288838573906882,False
NZDCAD,EURCHF,-0.17317531341046113,0.44880581024517585,9.967156086157864e-05,356.102325800077,0.016303761096507774,356.102325800077,NZDUSD,0.7486113878969531,False
GBPCHF,EURUSD,0.1471349464976365,-0.4437615542068709,0.0001008598000114626,370.41700979278585,0.015929112388484514,370.41700979278585,EURCHF,0.7433628214282136,False
NZDCAD,EURCAD,-0.11575527390070604,-0.19263572177843327,0.00010114448017465068,365.0211095871095,0.017331316261650596,365.0211095871095,NZDUSD,0.7760769028278004,False
GBPUSD,AUDCHF,-0.015675750289027266,-0.4664882893374283,0.00010157154550168609,406.0589577598924,0.020544186785331837,406.0589577598924,AUDUSD,0.8482235994766743,False
NZDCAD,GBPJPY,0.6188426345021759,-0.155318332220742,0.00010311531152493452,351.5198267913333,0.015768204410133584,351.5198267913333,NZDUSD,0.814111278650892,False
AUDCAD,AUDNZD,-0.1464840532104069,0.4628768510599064,0.0001110196292037149,428.6211501842516,0.016108923740940594,428.6211501842516,NZDCAD,0.9172116924746595,False
NZDCAD,USDCHF,-0.17400493293256988,0.14619914983386695,0.00012050031279617518,382.35396509841473,0.01754599147311365,382.35396509841473,NZDUSD,0.8358471687852312,False
NZDCAD,EURAUD,-0.042805214297491165,-0.2951726256215231,0.00012561578727714325,361.3167144675042,0.014775170434830277,361.3167144675042,NZDUSD,0.7087624967745867,False
NZDCAD,GBPNZD,-0.010586676347103042,-0.24302110668202245,0.0001315309687217543,361.98625415828855,0.013922544167339729,361.98625415828855,AUDCAD,0.7552552611064399,False
GBPNZD,CADCHF,0.35795964128847596,-0.8735444052822009,0.00013478026989897056,397.0843813391416,0.020826561067804866,397.0843813391416,NZDCAD,0.6836594248867295,False
NZDCAD,GBPCAD,-0.09469974540380587,-0.1774718182160814,0.00015145903134841846,374.5537592918044,0.017362242414905686,374.5537592918044,NZDUSD,0.7825068264078255,False
GBPUSD,EURAUD,-0.08432545093486797,0.6433929075477623,0.00015425396516427747,426.86662690856855,0.021454789314555977,426.86662690856855,AUDUSD,0.8902396961271157,False
CADCHF,EURNZD,0.1669057041689566,-1.0336431188635842,0.00017421528838978045,377.6709528334061,0.020014334730721815,377.6709528334061,NZDCAD,0.7473091779600612,False
AUDUSD,EURGBP,-0.3316685950891805,0.5836189455831935,0.00018589603368972937,450.4335523075097,0.024580476505343053,450.4335523075097,NZDUSD,0.8361061536094282,False
GBPCHF,USDCHF,0.1572586221381563,0.3652254078981335,0.00019132131580853757,422.01111116029665,0.013622391588373342,422.01111116029665,GBPUSD,0.7311709606172536,False
GBPUSD,USDCHF,0.15724095523969145,-0.6347555815415898,0.00021516157511718335,427.0411348168587,0.013630222790512762,427.0411348168587,GBPCHF,0.9000558412821099,False
NZDCAD,GBPAUD,-0.02144597798950331,-0.25925901760961223,0.00024954917891249035,385.0738930609172,0.015173960914018876,385.0738930609172,NZDUSD,0.7345882220215519,False
GBPUSD,CADCHF,0.011579417182053102,-0.514147026297656,0.00025641440908946933,429.6265761759481,0.01766070394139095,429.6265761759481,USDCAD,0.7151728089423495,False
GBPUSD,NZDCHF,-0.008219866877123066,-0.3910067379524195,0.00025832114475589227,461.5072990945345,0.021100937004437586,461.5072990945345,NZDUSD,0.8310894209581716,False
NZDCAD,GBPUSD,-0.16059934077718618,-0.1377584169793421,0.0002775298598032081,419.70339541337074,0.018336415863594635,419.70339541337074,NZDUSD,0.8437426778532348,False
EURCHF,GBPNZD,0.19575018161757968,-0.32150325014060743,0.00030285455691874313,381.6420114238144,0.012991763209724066,381.6420114238144,GBPCHF,0.725144909785757,False
NZDCAD,EURUSD,-0.1843164050649858,-0.11021086342526462,0.0003244710181333723,435.6054510101124,0.018509568714484895,435.6054510101124,NZDUSD,0.8360465821435944,False
NZDUSD,GBPCAD,-0.23479979299198545,-0.4904718329023138,0.00036872737890972056,485.6769050559715,0.026613064896706326,485.6769050559715,NZDCAD,0.8580507025085053,False
NZDCAD,AUDNZD,-0.14670302710645547,-0.5362471287037894,0.00037299986213980117,402.43620324130035,0.016111346757150143,402.43620324130035,AUDCAD,0.9252944455208989,False
AUDUSD,GBPCAD,-0.27990337881884303,-0.25143799432513286,0.0004140708301610163,494.2232027746962,0.024669218137947507,494.2232027746962,NZDUSD,0.8727496432024691,False
NZDCAD,AUDJPY,0.3156203732359445,-0.11165570370560497,0.00042961089639033883,433.05528036386306,0.01827696329706414,433.05528036386306,NZDUSD,0.8314393381437093,False
EURCHF,GBPAUD,0.21070925900171103,-0.3869065881336168,0.0004513452365043517,386.7042954854139,0.013107873752708585,386.7042954854139,GBPCHF,0.7008307905415226,False
EURCHF,GBPCAD,0.1692867473959682,-0.3855354688359925,0.00046755355323339307,411.9858909241256,0.013808277341267603,411.9858909241256,GBPCHF,0.7644702729323329,False
NZDCHF,EURCAD,-0.021354996649732453,-1.540047465308009,0.0004793512743009942,450.78851100923987,0.027797454262647993,450.78851100923987,NZDCAD,0.7995079132274872,False
AUDUSD,EURCHF,-0.39411499593068156,0.572243659727294,0.0004818557849436668,498.3024644324964,0.023917119878020525,498.3024644324964,NZDUSD,0.8350488920837519,False
NZDCAD,USDCAD,-0.08278349958427109,-0.35347192160016533,0.0006080025865562431,425.50950900401574,0.01733076415994849,425.50950900401574,AUDCAD,0.7120657117202642,False
NZDCAD,CADJPY,0.7709779084571242,-0.20656498948653398,0.0006177992160375296,444.31438511127925,0.01667176378194429,444.31438511127925,NZDUSD,0.8311090234337354,False
GBPCHF,EURNZD,0.2927275563026258,-0.3095653460089045,0.0006181654168573599,441.72205572553565,0.01601801483206991,441.72205572553565,EURCHF,0.7495301702948914,False
USDCHF,EURAUD,0.3848580354248524,-1.0219562808946168,0.0006210744448036264,495.82275572410487,0.02557722884713585,495.82275572410487,AUDUSD,0.8459180423798263,False
EURCHF,GBPJPY,1.1028741206303194,-0.21968889429439817,0.0007136140366136582,455.77766944507914,0.015408582903980141,455.77766944507914,GBPCHF,0.7594531509157881,False
NZDCAD,USDJPY,0.8758929743518094,-0.21449696388586337,0.0008930022454672218,404.13060386425275,0.015501902925644937,404.13060386425275,NZDUSD,0.7346961098901122,False
EURCHF,CHFJPY,1.0945854537415138,-0.22261614854498482,0.0009270511851564204,452.580336331,0.012919324298173504,452.580336331,EURJPY,0.7111899368726612,False
NZDCAD,NZDJPY,-0.1090466655824499,-0.01908599838265333,0.0010061761628025751,496.7246911922218,0.0188939753494472,496.7246911922218,NZDUSD,0.8130586327997884,False
GBPCHF,EURCAD,0.26168026400571626,-0.380760791450922,0.0010505173525653078,468.46960239885084,0.01649814350897344,468.46960239885084,EURCHF,0.7545614342998641,False
EURCHF,EURJPY,1.1117781086473897,-0.2280782809719815,0.0012574473245435458,482.6478838653651,0.01623778230376325,482.6478838653651,GBPCHF,0.6517363759979028,False
EURCHF,AUDCHF,0.13348463650950576,0.32232454614647205,0.0013283830878329567,471.8465778359826,0.011010106109778636,471.8465778359826,EURAUD,0.577408274450979,False
EURJPY,CHFJPY,1.0947859202644703,0.777368926252237,0.0013284154463168326,459.2359589812883,0.0129186910937949,459.2359589812883,EURCHF,0.9245526357674978,False
GBPCHF,EURAUD,0.30053059811106203,-0.37851994725557253,0.0014731079032679149,485.3575958557692,0.016324697863494875,485.3575958557692,EURCHF,0.7387915662435403,False
EURAUD,AUDCHF,0.13332057660677982,-0.6776645219618014,0.00153407921568571,449.2112506544885,0.011012912495556068,449.2112506544885,EURCHF,0.8326271214914316,False
NZDCAD,NZDUSD,0.03859155243715158,0.4564687994916459,0.0015458126693354832,451.1268320056115,0.010987004031907891,451.1268320056115,AUDCAD,0.5784832385012505,False
EURCHF,EURNZD,0.13139584043078967,-0.29668630698466225,0.0015749044593940612,498.8922427260182,0.015357943968692481,498.8922427260182,GBPCHF,0.5644330467043157,False
EURAUD,CADCHF,0.2183700097015794,-0.6473828210792726,0.0015790131771612368,461.69201476832416,0.017715965296134704,461.69201476832416,AUDCAD,0.7816483237236374,False
GBPNZD,NZDCHF,0.26384151530714256,-0.757190755501471,0.001658456246388881,492.93755270219947,0.015317009080822607,492.93755270219947,GBPCHF,0.9266875487186734,False
NZDCHF,EURNZD,0.13098417794523573,-1.296442053097816,0.001696652609955636,409.78102081871145,0.015348126589093238,409.78102081871145,EURCHF,0.8763771459779217,False
EURCHF,EURAUD,0.13932451405168958,-0.36364801934927565,0.0017041041793294227,495.9246291016664,0.015619240848246107,495.9246291016664,GBPCHF,0.506838167137276,False
EURCHF,NZDCHF,0.12817669270930102,0.2699299589750336,0.0019472420942033743,499.9112510196382,0.011526718323093887,499.9112510196382,EURNZD,0.5270229262692384,False
