y,x,sharpe,total_pnl,n_trades
EURCHF,GBPJPY,4.835535598946332,0.0653280043224081,9
NZDCAD,EURUSD,4.017864699021841,0.0688666277159502,14
GBPCHF,EURNZD,3.175873462057796,0.0773343144639412,14
NZDCAD,GBPUSD,3.122986342494201,0.0555903740210983,12
