y,x,n_windows_traded,n_trades,total_pnl,sharpe,max_dd,hit_rate,avg_dur_days,beta_mean,beta_std,skip_rate
EURCHF,GBPJPY,8,9,0.06532800432240818,4.835535598946332,-0.0013692629964333208,0.7777777777777778,10.62962962962963,0.045678813300974425,0.23864161906128806,0.1111111111111111
NZDCAD,EURUSD,9,14,0.06886662771595027,4.017864699021841,-0.004012225379416718,0.7142857142857143,9.571428571428571,0.3562969116555919,0.2553166995470423,0.0
GBPCHF,EURNZD,8,14,0.07733431446394123,3.175873462057796,-0.025862409320150062,0.7142857142857143,7.095238095238094,-0.13475447704667576,0.28814996117401126,0.1111111111111111
NZDCAD,GBPUSD,9,12,0.05559037402109837,3.1229863424942015,-0.009045151343796342,0.75,9.819444444444445,0.2792714248929756,0.27486416588315066,0.0
NZDCAD,USDCAD,8,11,0.03716222065687633,2.481258549084978,-0.009071757296190516,0.7272727272727273,10.575757575757576,-0.2654639548603673,0.12301920190806558,0.1111111111111111
GBPUSD,CADCHF,9,12,0.04411481606879499,2.100608450487913,-0.021188406229889014,0.75,12.83333333333333,-0.5182275567902822,0.19727255115392545,0.0
NZDCAD,USDJPY,8,11,0.03689825713151082,2.0798755537893796,-0.011932016417172717,0.7272727272727273,11.181818181818182,-0.16896305152047408,0.14442460112793498,0.1111111111111111
NZDCAD,GBPJPY,9,13,0.03542214881463123,1.5263409297295674,-0.015732627412414664,0.6923076923076923,12.67948717948718,-0.012817054951336096,0.18461413803406626,0.0
NZDCAD,EURAUD,9,12,0.033363729970964005,1.4429169502275763,-0.02819546372815469,0.8333333333333334,10.458333333333334,-0.46739449819355156,0.3216725824561604,0.0
GBPCHF,EURCAD,8,18,0.04210004849268014,1.434512462815724,-0.051151635306585216,0.6111111111111112,6.472222222222222,-0.07815433909767652,0.4342159765098245,0.1111111111111111
NZDCAD,EURJPY,9,15,0.03990683385675211,1.428783718334401,-0.02691387320530552,0.7333333333333333,11.833333333333336,-0.029326217919853022,0.186747667971966,0.0
EURCHF,CHFJPY,9,13,0.026812313509648373,1.4188213154544187,-0.015947134379451056,0.6153846153846154,11.333333333333334,-0.05249809972363021,0.14441244529783556,0.0
GBPNZD,CADCHF,9,12,0.03823118435609931,1.237649933561013,-0.026209109811603088,0.75,10.652777777777777,-0.4760439772181668,0.35640493100439097,0.0
NZDCAD,USDCHF,9,12,0.022974737624807288,1.2166927533274068,-0.00933855350647285,0.5833333333333334,11.819444444444445,-0.1303340614688989,0.23218322291914503,0.0
NZDCAD,GBPCAD,9,10,0.031138931943785763,1.1631062879874319,-0.03000880178186475,0.8,13.566666666666666,0.12652004988232668,0.3377056199481045,0.0
GBPCHF,EURUSD,8,12,0.02931300144563244,1.1106856222308292,-0.023763651260793082,0.75,12.125,-0.1519819323318245,0.19935956092215268,0.1111111111111111
NZDCAD,GBPNZD,8,10,0.02195505600611801,1.065252191949146,-0.0267965841469208,0.8,14.333333333333334,-0.4251389291693774,0.19876267940504894,0.1111111111111111
NZDCAD,AUDJPY,9,12,0.028827610714834254,0.9437140369234347,-0.024056343056433182,0.5833333333333334,14.569444444444445,0.0005113491412516096,0.22735995915583057,0.0
NZDCAD,EURCAD,9,11,0.011776512652166995,0.9209642704231671,-0.01177621891029243,0.5454545454545454,11.272727272727272,0.28450882759175117,0.3253343685083128,0.0
NZDCAD,CADJPY,8,10,0.021916279944053152,0.9100036144685192,-0.037536156263684006,0.6,13.866666666666665,-0.0948963242243959,0.2147610337580182,0.1111111111111111
CADCHF,EURNZD,8,11,0.033528373421246725,0.8799180800120612,-0.0419983456232819,0.8181818181818182,12.136363636363637,-0.5899863979453279,0.37957702860776305,0.1111111111111111
EURJPY,CHFJPY,9,12,0.013491104676179953,0.8681613675661265,-0.015156638931713286,0.5833333333333334,11.861111111111109,0.9476935612397442,0.14477378236549102,0.0
