y,x,sharpe,total_pnl,n_trades
GBPCHF,EURNZD,6.52348668117684,0.0593477642192898,8
EURCHF,GBPJPY,3.716295878663455,0.049989368749787,8
NZDCAD,GBPUSD,3.7030226828374015,0.067537834302284,18
NZDCAD,EURUSD,3.6272453150277935,0.0607084671647598,16
