y,x,alpha,beta,adf_p,half_life_bars,resid_std,half_life_hours,max_third,max_third_corr,synthetic_flag
NZDCAD,CHFJPY,0.5818988765394818,-0.15134041967035464,3.280073099041026e-05,89.03030462944011,0.01494975640496786,356.12121851776044,NZDUSD,0.8039667734749224,False
NZDCAD,EURCAD,-0.11672598474507503,-0.1903732643097429,7.703882961958087e-05,100.86348733499207,0.017326322241808613,403.4539493399683,NZDUSD,0.774216615030892,False
NZDCAD,GBPJPY,0.6118990132407746,-0.15400092432259535,7.762576364781884e-05,97.67711152006986,0.01579760977531347,390.70844608027943,NZDUSD,0.8115202024357523,False
NZDCAD,USDCHF,-0.17421131973543807,0.14500031724758358,7.791025715602223e-05,105.67698763452836,0.01752638917951046,422.70795053811344,NZDUSD,0.8336036100216696,False
GBPNZD,CADCHF,0.35884675446427855,-0.8716015890506624,8.155219938751643e-05,107.71629302638604,0.02075935454166521,430.86517210554416,NZDCAD,0.6767698821254577,False
GBPCHF,EURUSD,0.1472306169408266,-0.4440010456971678,0.00011274420115396487,96.0111428869349,0.015911381664857685,384.0445715477396,EURCHF,0.7572028697377122,False
NZDCAD,GBPCAD,-0.0962276420642222,-0.17483592689509753,0.00011586305200238902,104.05400522649346,0.017367818116474736,416.21602090597383,NZDUSD,0.7793178171694916,False
GBPUSD,AUDCHF,-0.01575710636930582,-0.4667752716169911,0.0001230677163194182,105.77756198241528,0.020542586980291034,423.1102479296611,AUDUSD,0.8477560252330486,False
AUDCAD,AUDNZD,-0.14669633217335817,0.4646800542413882,0.00013337423198094358,119.19490222660323,0.01611114351784459,476.77960890641293,NZDCAD,0.9223958062861445,False
GBPUSD,EURAUD,-0.08411447399710324,0.6431034597892479,0.00015828574470396492,114.37845371263464,0.021476452644325964,457.51381485053855,AUDUSD,0.8916181735911486,False
NZDCAD,EURJPY,0.7399592111743404,-0.1838462869594315,0.00015905431006271007,89.93902528530191,0.015238111877508382,359.75610114120764,NZDUSD,0.808509367095534,False
EURCHF,GBPCAD,0.1691759349832254,-0.38526860304072164,0.00017609367158512933,108.58120058321266,0.013772340996215654,434.32480233285065,GBPCHF,0.7728298721629329,False
NZDCAD,GBPUSD,-0.16110799138616178,-0.13584436458068336,0.00017636613965071781,115.84303192095705,0.018311358667718405,463.3721276838282,NZDUSD,0.8415484171246823,False
NZDCAD,GBPAUD,-0.02238405896950706,-0.257882836510729,0.00018449899037113678,106.72737394013497,0.015181581153454814,426.90949576053987,NZDUSD,0.7292881098204799,False
GBPCHF,USDCHF,0.1572710363169704,0.36488457473008346,0.00018811225089142576,110.21858922912716,0.013609732929749615,440.87435691650865,GBPUSD,0.7364305058716567,False
GBPUSD,USDCHF,0.15727985771681108,-0.6349398717198345,0.00019942698148522079,111.40861601600888,0.013620199806845127,445.6344640640355,GBPCHF,0.9012769521644254,False
EURCHF,GBPAUD,0.21074801240288404,-0.38686103991361925,0.00020986727238455797,103.51885848586716,0.013083847074858867,414.0754339434686,GBPCHF,0.7122176027113329,False
EURCHF,GBPNZD,0.1960732118053456,-0.3218864378166838,0.0002139733628251694,102.4409060549918,0.012956842320155558,409.7636242199672,GBPCHF,0.7384225916648295,False
AUDUSD,EURGBP,-0.3329097597528586,0.5755685343116401,0.0002177754356096374,120.95729894294263,0.024567981690822735,483.8291957717705,NZDUSD,0.842342317399518,False
GBPUSD,CADCHF,0.011514209899921779,-0.5145328016375944,0.00022598390452443015,110.99674258721163,0.017629658533230883,443.9869703488465,USDCAD,0.7200172487718951,False
CADCHF,EURNZD,0.16792520472414227,-1.0353722778455043,0.00022665398250662846,105.43813874793364,0.02003092760885973,421.75255499173454,NZDCAD,0.7432846309039156,False
EURAUD,USDCHF,0.4153248524067305,-0.7031319786930873,0.00023062103415040099,121.89292842379358,0.021191632902708472,487.5717136951743,AUDUSD,0.8599707614827612,False
NZDCAD,NZDCHF,-0.0689464111041592,0.19290936794882874,0.00024593934410252813,96.5435693703134,0.013848150778910464,386.1742774812536,NZDUSD,0.7466773409595392,False
NZDCAD,EURUSD,-0.18437882652640536,-0.10999054206112367,0.00024837592275887816,119.74419439476222,0.018471628854586843,478.97677757904887,NZDUSD,0.834669599153452,False
NZDCAD,CADCHF,-0.12075041054520962,0.16165907904111224,0.0002493333982375706,96.70733242999171,0.01661155201662049,386.82932971996684,NZDUSD,0.7686298727360277,False
GBPUSD,NZDCHF,-0.008695821036922407,-0.3918955047855462,0.0002724291269411139,119.89419661975718,0.02107342800839383,479.5767864790287,NZDUSD,0.8309071861219683,False
NZDCAD,GBPNZD,-0.011535482867362497,-0.24182264061830602,0.0002832810231655721,100.27431381050008,0.013953591075217847,401.0972552420003,AUDCAD,0.7584805732232149,False
GBPCHF,EURNZD,0.29328953825419535,-0.31045213451764203,0.00029411515313413565,116.46116274620802,0.015971684870452207,465.84465098483207,EURCHF,0.7553155636023339,False
NZDCAD,AUDCHF,-0.07717326381182445,0.20894590753578487,0.00032603245338168714,96.99449550711667,0.014688902074819214,387.97798202846667,NZDUSD,0.7231561845827779,False
NZDCAD,AUDJPY,0.30039776852052297,-0.10833884448901127,0.0003404336086802947,120.54991893286136,0.018271943829788848,482.19967573144544,NZDUSD,0.8288156685524256,False
NZDCAD,EURNZD,-0.03684272457351107,-0.261441382617184,0.0003495041790447619,96.84949084933467,0.0136472859326771,387.3979633973387,AUDCAD,0.74482214659252,False
NZDCAD,GBPCHF,-0.2341047892133847,0.3728103057961126,0.000374378261541392,103.2873707598439,0.016949453794527586,413.1494830393756,NZDUSD,0.7361800899384172,False
NZDCAD,EURCHF,-0.17339781689838402,0.44544923889493165,0.00037756817111740725,100.21836542956241,0.01630912376670514,400.87346171824964,NZDUSD,0.7397975133073704,False
GBPCHF,EURCAD,0.261736384360231,-0.38081105337461146,0.0003813680494591244,122.65055125796489,0.01646703031485106,490.60220503185957,EURCHF,0.7646197805001467,False
NZDCHF,EURCAD,-0.021961503569165614,-1.5386190891031177,0.0004016847579866934,120.8617720973137,0.027711800539795158,483.4470883892548,NZDCAD,0.8073805178317225,False
NZDCAD,EURAUD,-0.04363445832992873,-0.29359346180496554,0.00044591524482103206,99.49849156184985,0.01477555317426386,397.9939662473994,NZDUSD,0.7062231900646749,False
