timeframe,scheme,n_spreads,n_trades,total_pnl,sharpe,max_dd,calmar,hit_rate,avg_dur_days,total_pnl_bps,max_dd_bps
H1,equal,4,50,0.05939585860902994,4.17343769387597,-0.005261755283311749,5.705618913857624,0.76,8.2625,593.9585860902994,-52.61755283311749
H1,risk_parity,4,50,0.05993691235572107,4.186006277486696,-0.005180651194070265,5.8477292414180875,0.76,8.2625,599.3691235572107,-51.80651194070265
H1,sharpe_weighted,4,50,0.05937537097885166,4.1064772903081,-0.004604068508346368,6.5184119133617715,0.76,8.2625,593.7537097885166,-46.04068508346368
H4,equal,4,49,0.0667798301308492,3.6327672211477933,-0.006465602330037476,5.220216581915201,0.7346938775510204,9.119047619047619,667.798301308492,-64.65602330037476
H4,risk_parity,4,49,0.06613808962644124,3.8123318211143267,-0.005001100499586745,6.684028081043114,0.7346938775510204,9.119047619047619,661.3808962644124,-50.01100499586745
H4,sharpe_weighted,4,49,0.0667758243297267,3.7538602075010123,-0.005420692284121972,6.226108791163242,0.7346938775510204,9.119047619047619,667.758243297267,-54.20692284121972
