window,test_start,test_end,alpha,beta,adf_p,skipped,n_trades,y,x
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.21302461851742466,-0.1357964086286577,0.0018891205566230057,,3.0,NZDCAD,USDCHF
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.20249567087657694,-0.02265189668333233,0.00019618275543333116,,1.0,NZDCAD,USDCHF
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.20046663103698956,0.03579647296731911,0.011348989200573634,,1.0,NZDCAD,USDCHF
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.25445923978400553,-1.1088480280649384,0.045366950957646944,,1.0,GBPNZD,CADCHF
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.6133493742468162,-0.26130275658124347,0.017581456623778736,,1.0,GBPNZD,CADCHF
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,0.8025149371308211,0.16950328194704067,0.005390010879683586,,1.0,GBPNZD,CADCHF
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,0.6328257586212787,-0.23608513078023544,0.022481069617367136,,2.0,GBPNZD,CADCHF
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,0.5238405201326458,-0.5063276375148476,0.022002291291645253,,2.0,GBPNZD,CADCHF
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,0.440234248872657,-0.7196634983096913,0.04421844335046889,,0.0,GBPNZD,CADCHF
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,0.4699928978252179,-0.6585485060988018,0.010579355745569032,,1.0,GBPNZD,CADCHF
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,0.545976653439201,-0.5106578273594033,0.0009272821766837591,,3.0,GBPNZD,CADCHF
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,0.5817443406778541,-0.45246569220138044,0.0035101433263273144,,1.0,GBPNZD,CADCHF
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.10072107802568697,0.12703992956805535,0.1841656019334859,adf_gate,,GBPCHF,EURUSD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.09677907848973528,0.12979918395394377,0.06478063843777081,,2.0,GBPCHF,EURUSD
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,0.11296865073547505,-0.025344669281781643,0.08810681523861741,,4.0,GBPCHF,EURUSD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,0.11734938684808074,-0.0577854173517444,0.03702990644548375,,2.0,GBPCHF,EURUSD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,0.13243011070294045,-0.18502903103116658,0.0017149758162994218,,1.0,GBPCHF,EURUSD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,0.123331347965738,-0.006106046478345851,0.0023163708270418555,,0.0,GBPCHF,EURUSD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,0.13443632625624863,-0.23955486905253887,0.0005477512893122424,,1.0,GBPCHF,EURUSD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,0.1402615259541078,-0.3683021875581751,0.0003887147205025658,,1.0,GBPCHF,EURUSD
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,0.1458086292483709,-0.46353242185478727,0.01846702436510309,,1.0,GBPCHF,EURUSD
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.08960908934661865,-0.5374426584366169,0.00931252738426767,,1.0,NZDCAD,GBPCAD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,-0.3391906767474715,0.2713549849959105,0.009639234013525642,,1.0,NZDCAD,GBPCAD
