exit_time,cum_pnl
2024-03-31 21:00:00+00:00,-0.0028884138591347285
2024-03-31 21:00:00+00:00,-0.004854090585329537
2024-03-31 21:00:00+00:00,-0.008069065053204993
2024-06-04 07:00:00+00:00,-0.005249869628034734
2024-06-04 09:00:00+00:00,-0.001383385750415118
2024-06-28 06:00:00+00:00,0.00029980295956571514
2024-06-30 21:00:00+00:00,-0.0006323698167545365
2024-08-06 22:00:00+00:00,0.004169070088585784
2024-08-13 22:00:00+00:00,0.007517933663418661
2024-09-30 21:00:00+00:00,0.008007213811221745
2024-09-30 21:00:00+00:00,0.007360256349968038
2024-12-06 06:00:00+00:00,0.00840840406136811
2024-12-06 13:00:00+00:00,0.010006889048170773
2024-12-11 09:00:00+00:00,0.012804035933313472
2024-12-16 02:00:00+00:00,0.014143998926003569
2024-12-19 12:00:00+00:00,0.01621532601926766
2024-12-31 21:00:00+00:00,0.013891064525451684
2025-02-03 21:00:00+00:00,0.018123648078103335
2025-02-04 00:00:00+00:00,0.022304353374938732
2025-02-20 04:00:00+00:00,0.024244363316458382
2025-02-20 17:00:00+00:00,0.025601966050593967
2025-02-25 16:00:00+00:00,0.02765088762506347
2025-03-06 11:00:00+00:00,0.02971650076335699
2025-03-07 05:00:00+00:00,0.03223401690539814
2025-03-10 12:00:00+00:00,0.03471979136822945
2025-03-17 01:00:00+00:00,0.03732815853340892
2025-03-31 21:00:00+00:00,0.036431048230780104
2025-03-31 21:00:00+00:00,0.036537867641196466
2025-06-11 16:00:00+00:00,0.03786424690681967
2025-08-04 06:00:00+00:00,0.0398031343683243
2025-08-07 11:00:00+00:00,0.04371122311097721
2025-08-13 02:00:00+00:00,0.04508611301156331
2025-08-13 06:00:00+00:00,0.04711833327835951
2025-08-20 07:00:00+00:00,0.04620270671061349
2025-09-08 06:00:00+00:00,0.048146327164576674
2025-09-08 06:00:00+00:00,0.05035129243002797
2025-09-30 21:00:00+00:00,0.04962923137026851
2025-09-30 21:00:00+00:00,0.049072533219465385
2025-11-06 15:00:00+00:00,0.05158933506496012
2025-11-19 19:00:00+00:00,0.05286523993252234
2025-11-20 23:00:00+00:00,0.05488203340462577
2025-11-26 02:00:00+00:00,0.05546584956457807
2025-11-27 00:00:00+00:00,0.05649528216443985
2025-12-18 12:00:00+00:00,0.057626779007541706
2025-12-31 21:00:00+00:00,0.05780485955360416
2025-12-31 21:00:00+00:00,0.05830876797995934
2026-03-03 05:00:00+00:00,0.06036964390713533
2026-03-03 05:00:00+00:00,0.06334404527797786
2026-03-19 10:00:00+00:00,0.06071640366414171
2026-03-24 12:00:00+00:00,0.05993691235572107
