window,test_start,test_end,alpha,beta,adf_p,skipped,n_trades,y,x
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,1.2674043443972842,-0.28820232891520275,0.005360279444988279,,3.0,NZDCAD,CHFJPY
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.44529609050449137,-0.12588889418100405,0.014636871492083498,,1.0,NZDCAD,CHFJPY
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-1.8904639479698357,0.3305260328037325,0.004230749035715983,,2.0,NZDCAD,CHFJPY
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-1.3961335618554416,0.23479535504236682,0.041683884387974594,,2.0,NZDCAD,CHFJPY
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.8158738993585093,0.12195654544824723,0.02326324847620524,,1.0,NZDCAD,CHFJPY
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,-1.2501676325505016,0.20568856982041522,0.00911760179875303,,1.0,NZDCAD,CHFJPY
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.41290039176097254,0.04258928901848247,0.003855147180726961,,4.0,NZDCAD,CHFJPY
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.04877576385672154,-0.029018439814751346,0.00015139384319954818,,1.0,NZDCAD,CHFJPY
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,0.5541531725330506,-0.1465772817382472,0.0005379047101121007,,1.0,NZDCAD,CHFJPY
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,1.72797054039372,-0.3815535102951289,0.0017073468280784706,,3.0,NZDCAD,EURJPY
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.7766337617576173,-0.19244394947295185,0.011474307674724864,,1.0,NZDCAD,EURJPY
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-1.3181390038375749,0.22060395065039784,0.010320629031923809,,2.0,NZDCAD,EURJPY
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.5379247600915831,0.0683128262929552,0.0790212476968617,,3.0,NZDCAD,EURJPY
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.27355887063420276,0.016752016994930802,0.029948093286540717,,1.0,NZDCAD,EURJPY
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,-0.8589494689692219,0.13093506408597713,0.009602255237099327,,0.0,NZDCAD,EURJPY
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.5620548853519683,0.07237857258036118,0.003965533803701105,,4.0,NZDCAD,EURJPY
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.049377509520883364,-0.02926224400681923,0.00014590819536405858,,1.0,NZDCAD,EURJPY
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,0.6122676076750762,-0.15977022864226637,0.00045103802376686875,,1.0,NZDCAD,EURJPY
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.11300714502724636,0.5063010147158996,0.020924411335299205,,2.0,NZDCAD,NZDCHF
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.07549590201891444,0.4405475999393836,0.029287649158353007,,1.0,NZDCAD,NZDCHF
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,0.12514130429016856,0.5192239173371448,0.013618400617601646,,2.0,NZDCAD,NZDCHF
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.08376436799087819,0.1706400260564179,0.11830889064151934,adf_gate,,NZDCAD,NZDCHF
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,-0.11263411551727975,0.11984086632990644,0.02988618770935103,,1.0,NZDCAD,NZDCHF
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,-0.041455080538860836,0.23376734514337094,0.006198074776075192,,1.0,NZDCAD,NZDCHF
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.04781115697776393,0.2176180836101317,0.008852559664551262,,1.0,NZDCAD,NZDCHF
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.11281776251675381,0.12319658085895868,0.00023622516843123137,,2.0,NZDCAD,NZDCHF
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.07528120664422804,0.18106118310748853,0.0028779052484613258,,1.0,NZDCAD,NZDCHF
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.26955719608773443,0.19145680884090868,0.005143024635098543,,0.0,EURCAD,EURNZD
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,0.2780968484954428,0.17712323293182983,0.00684510827327828,,1.0,EURCAD,EURNZD
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,0.31617219814069325,0.11365409563044085,0.0027739733755379474,,1.0,EURCAD,EURNZD
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,0.155302431162154,0.4033365611723927,0.06771737966097822,,2.0,EURCAD,EURNZD
4,2025-01-01 00:00:00+02:00,2025-04-01 00:00:00+03:00,0.12338079433681676,0.4642473724734734,0.024483927496522236,,4.0,EURCAD,EURNZD
5,2025-04-01 00:00:00+03:00,2025-07-01 00:00:00+03:00,0.09266143225863231,0.5203625605280876,0.009477728030988201,,1.0,EURCAD,EURNZD
6,2025-07-01 00:00:00+03:00,2025-10-01 00:00:00+03:00,-0.03534586487546244,0.74098424111281,0.009463283530034946,,2.0,EURCAD,EURNZD
7,2025-10-01 00:00:00+03:00,2026-01-01 00:00:00+02:00,-0.11590822822471548,0.8694983759740911,0.00020276567899939847,,2.0,EURCAD,EURNZD
8,2026-01-01 00:00:00+02:00,2026-04-01 00:00:00+03:00,-0.0714857574537262,0.7955582429272862,0.0029863264130231995,,1.0,EURCAD,EURNZD
0,2024-01-01 00:00:00+02:00,2024-04-01 00:00:00+03:00,0.002182311848413253,0.46816075139419655,0.013486746990119676,,2.0,NZDCAD,CADCHF
1,2024-04-01 00:00:00+03:00,2024-07-01 00:00:00+03:00,-0.26448206307906924,-0.16299762039408267,0.011068057949449222,,1.0,NZDCAD,CADCHF
2,2024-07-01 00:00:00+03:00,2024-10-01 00:00:00+03:00,-0.35944583056735624,-0.38413092106797303,0.02779051339624693,,2.0,NZDCAD,CADCHF
3,2024-10-01 00:00:00+03:00,2025-01-01 00:00:00+02:00,-0.3247424580701847,-0.3115203528540809,0.047719990193710586,,3.0,NZDCAD,CADCHF
