entry_time,exit_time,side,entry_spread,exit_spread,entry_z,exit_z,gross_pnl,cost,net_pnl,duration_bars,duration_days,exit_reason,y,x
2022-08-12 20:00:00+03:00,2022-08-17 16:00:00+03:00,-1,-0.02573918836461786,-0.04170520873161365,2.0526264427118424,0.44643822334764593,0.015966020366995792,0.0009,0.015066020366995793,18,3.0,mean_revert,NZDCAD,CHFJPY
2022-09-20 12:00:00+03:00,2022-10-21 16:00:00+03:00,1,-0.06714182789480194,-0.06860531789969004,-2.0529661995036177,-0.49317792183155795,-0.0014634900048881017,0.002983333333333333,-0.004446823338221434,143,23.833333333333332,mean_revert,NZDCAD,CHFJPY
2022-11-11 19:00:00+02:00,2023-01-05 15:00:00+02:00,-1,-0.03621494870579156,9.26877960838457e-06,2.2457972112380062,0.4568028156187905,-0.036224217485399945,0.004383333333333334,-0.04060755081873328,227,37.833333333333336,mean_revert,NZDCAD,CHFJPY
2023-04-14 20:00:00+03:00,2023-04-25 12:00:00+03:00,1,-0.010993888694390885,-0.00048610914847369013,-2.031335073912362,-0.39629143224880514,0.010507779545917195,0.0013,0.009207779545917196,42,7.0,mean_revert,NZDCAD,CHFJPY
2023-05-03 04:00:00+03:00,2023-05-06 00:00:00+03:00,-1,0.01669228624231145,0.005506755486124559,2.249432203648214,0.46088016826455475,0.01118553075618689,0.0008833333333333333,0.010302197422853557,17,2.8333333333333335,mean_revert,NZDCAD,CHFJPY
2023-05-25 16:00:00+03:00,2023-06-14 20:00:00+03:00,1,-0.012042445069642471,-0.00827434639023994,-2.052918723001434,-0.4116223715736679,0.0037680986794025317,0.0020666666666666667,0.001701432012735865,88,14.666666666666666,mean_revert,NZDCAD,CHFJPY
2023-10-11 00:00:00+03:00,2023-10-13 04:00:00+03:00,-1,-0.007097799361616697,-0.019720045336371173,2.125734465670616,0.4754742971554396,0.012622245974754476,0.0008166666666666666,0.011805579308087809,13,2.1666666666666665,mean_revert,NZDCAD,CHFJPY
2023-11-02 11:00:00+02:00,2024-01-16 15:00:00+02:00,-1,-0.012189225202070109,0.007258494972612772,2.0746837823081337,0.3473396892465697,-0.01944772017468288,0.005716666666666666,-0.025164386841349546,307,51.166666666666664,mean_revert,NZDCAD,CHFJPY
2024-03-21 23:00:00+02:00,2024-04-09 04:00:00+03:00,1,-0.007620352929008312,-0.004146229290487358,-2.0651302670416087,-0.48774131787672226,0.003474123638520954,0.0018666666666666666,0.0016074569718542873,76,12.666666666666666,mean_revert,NZDCAD,CHFJPY
2024-05-16 20:00:00+03:00,2024-07-02 12:00:00+03:00,-1,0.014135342540451346,0.018153821880661947,2.0176600515242744,0.4220993662938926,-0.004018479340210601,0.0039833333333333335,-0.008001812673543935,203,33.833333333333336,mean_revert,NZDCAD,CHFJPY
