y,x,beta,half_life_hours,n_trades,total_pnl,avg_pnl,hit_rate,sharpe,max_dd,avg_duration_days,n_trades_is,total_pnl_is,avg_pnl_is,hit_rate_is,sharpe_is,max_dd_is,avg_duration_days_is,n_trades_oos,total_pnl_oos,avg_pnl_oos,hit_rate_oos,sharpe_oos,max_dd_oos,avg_duration_days_oos
GBPUSD,CADCHF,-0.5145328016375944,443.9869703488465,22,0.10644841994509724,0.004838564542958965,0.7272727272727273,0.6672037615782731,-0.02182912966432958,18.08333333333334,18,0.10849731380713176,0.006027628544840654,0.7222222222222222,2.224129805496538,-0.02182912966432958,18.694444444444443,2,0.021745284483541648,0.010872642241770824,1.0,33.60706123723795,0.0,10.833333333333332
NZDCAD,GBPAUD,-0.257882836510729,426.9094957605399,21,0.05266936440517996,0.0025080649716752363,0.7619047619047619,0.7708620968116546,-0.053057930463399086,19.6984126984127,18,0.04632610693222683,0.0025736726073459348,0.7777777777777778,0.7606066664041247,-0.012258587705627176,18.898148148148145,2,0.014589181687578981,0.007294590843789491,1.0,20.754299628894216,0.0,21.333333333333336
GBPUSD,NZDCHF,-0.3918955047855462,479.5767864790287,23,0.21959362619509296,0.009547548965004041,0.8260869565217391,1.2397427905116014,-0.02009673393912184,18.86231884057971,19,0.21559318384812484,0.011347009676217096,0.8421052631578947,3.527777316436525,-0.02009673393912184,19.456140350877195,2,0.03112330690883323,0.015561653454416615,1.0,12.499874648219729,0.0,12.5
NZDCAD,USDCAD,-0.3503475614681073,475.3447539151097,22,0.0767547919170851,0.003488854178049323,0.7727272727272727,1.0076892918842744,-0.057168688061625166,15.583333333333332,18,0.035299981134768475,0.001961110063042693,0.7222222222222222,0.5067687733473728,-0.018070386776710686,16.509259259259256,2,0.018784971117868213,0.009392485558934106,1.0,8.147310163347282,0.0,15.416666666666666
NZDCAD,EURAUD,-0.2935934618049655,397.9939662473994,19,-0.011430481943940064,-0.0006016043128389508,0.7894736842105263,-0.14393999420103257,-0.08273034776200637,20.377192982456137,16,-0.021457437708393777,-0.001341089856774611,0.75,-0.2967177488178422,-0.014808995494922483,20.083333333333332,2,0.00748434335722873,0.003742171678614365,1.0,5.73583161896978,0.0,22.666666666666664
NZDCAD,NZDUSD,0.4571340677256982,499.21771458158935,28,0.032225544684499174,0.0011509123101606847,0.7142857142857143,0.5614981413285628,-0.044764088377425106,12.619047619047622,24,0.014787907687531854,0.0006161628203138272,0.7083333333333334,0.2759721805436914,-0.013515292121363185,13.131944444444445,3,0.011452763937411481,0.0038175879791371606,0.6666666666666666,4.586228656069675,0.0,11.833333333333334
EURCHF,GBPJPY,-0.2192407335995596,475.8775061546292,22,0.141252560768012,0.006420570944000545,0.8181818181818182,2.104043329218386,-0.056190710175252546,15.386363636363637,18,0.0785019423235594,0.0043612190179755225,0.7777777777777778,1.6219037220683894,-0.056190710175252546,14.34259259259259,2,0.00230416579218914,0.00115208289609457,1.0,3.2811756920616135,0.0,30.75
NZDCAD,AUDCHF,0.2089459075357848,387.9779820284666,20,-0.009252391392043903,-0.00046261956960219516,0.7,-0.10911336858066545,-0.09242255558100806,20.841666666666665,17,-0.019035838742777908,-0.0011197552201634064,0.7647058823529411,-0.2492480780790441,-0.039635073935911605,20.470588235294116,2,0.010909848721388978,0.005454924360694489,0.5,1.8268601574976036,0.0,22.333333333333336
GBPCHF,EURNZD,-0.310452134517642,465.84465098483207,21,0.16281434464900388,0.007753064030904947,0.7619047619047619,3.223527752143909,-0.024863004371679848,14.309523809523807,18,0.1284113244547582,0.007133962469708789,0.7777777777777778,3.0492524152179485,-0.024863004371679848,14.046296296296294,2,0.006570509312378776,0.003285254656189388,0.5,1.5429172674187939,-0.003160139886248888,19.916666666666668
NZDCHF,EURCAD,-1.5386190891031175,483.4470883892548,30,0.18506823027286826,0.006168941009095609,0.6,1.41504506967307,-0.09366768732888466,10.21666666666667,23,0.1213824926901121,0.005277499682178787,0.6086956521739131,1.0772827091664667,-0.05150729115251003,11.811594202898549,6,0.016358026128677837,0.002726337688112973,0.5,1.3434128672701187,-0.029641055981400002,4.722222222222221
