y,x,n_windows_traded,n_trades,total_pnl,sharpe,max_dd,hit_rate,avg_dur_days,beta_mean,beta_std,skip_rate
GBPCHF,EURNZD,7,8,0.059347764219289834,6.5234866811768395,-0.010211815046112918,0.875,8.348958333333334,-0.16187769689091566,0.3000455093193313,0.2222222222222222
EURCHF,GBPJPY,8,8,0.04998936874978705,3.7162958786634546,-0.003841749280727773,0.75,11.348958333333332,0.04614314879491108,0.23909652542796667,0.1111111111111111
NZDCAD,GBPUSD,9,18,0.067537834302284,3.7030226828374015,-0.009052423540057516,0.7777777777777778,6.599537037037038,0.28014037456090884,0.2751095593317337,0.0
NZDCAD,EURUSD,9,16,0.060708467164759874,3.6272453150277935,-0.00557936778140913,0.6875,8.546875,0.3569519233175655,0.2547652584664551,0.0
GBPCHF,EURUSD,7,10,0.0346872812732689,3.5298182303246257,-0.0076308334122049265,0.7,10.716666666666667,-0.1710793228640935,0.20540163965873653,0.2222222222222222
NZDCAD,USDCAD,9,14,0.04288606142227507,2.6620474363689284,-0.00972075767912452,0.7142857142857143,8.544642857142858,-0.29501886894159857,0.14064734217510963,0.0
GBPCHF,EURCAD,8,44,0.057558236249872205,2.0590194474633323,-0.04456631709303334,0.4318181818181818,2.538825757575758,-0.07618455213984926,0.4347090909208152,0.1111111111111111
NZDCAD,GBPCAD,9,12,0.044230045492950176,1.9658758968945225,-0.020183586549259527,0.8333333333333334,12.295138888888888,0.12660149555223574,0.3369449831977684,0.0
CADCHF,EURNZD,7,17,0.06850574523605941,1.880346004208445,-0.05180378599208999,0.6470588235294118,7.370098039215686,-0.5743107981869071,0.4125178391128234,0.2222222222222222
NZDCAD,GBPNZD,8,11,0.02555759809389474,1.8234722512695791,-0.015231153713195016,0.7272727272727273,12.098484848484846,-0.4247470619963718,0.19873307670500187,0.1111111111111111
NZDCAD,CADCHF,9,15,0.03789937170822072,1.814657060234864,-0.023140225617048534,0.7333333333333333,10.497222222222224,-0.03895348591894421,0.2526449997092332,0.0
GBPUSD,CADCHF,9,15,0.050569664540350924,1.7449535676597625,-0.022214117119709022,0.6666666666666666,11.833333333333334,-0.5183735170726917,0.19847353417973027,0.0
NZDCAD,NZDUSD,9,13,0.01614197738460823,1.4693694947227454,-0.006574667681705644,0.6923076923076923,12.705128205128206,0.48780613636659503,0.15319038668961354,0.0
EURCHF,EURJPY,9,7,0.015261508943090099,1.2965933862659447,-0.006555368274082695,0.5714285714285714,15.44047619047619,0.12882667173813525,0.31300869353618943,0.0
NZDCAD,GBPCHF,9,14,0.029518727754589177,1.247015962001695,-0.02078034746540667,0.7142857142857143,10.458333333333332,0.1218898342980636,0.17304774643594337,0.0
AUDUSD,EURCHF,6,11,0.0432590532292224,1.1411490410059133,-0.060482952329406814,0.8181818181818182,10.5,-0.18635046645723397,0.8416475976056664,0.3333333333333333
