symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
USDCAD,0.0,528,47.54,0.426,1.58,76.9,38.0
USDCAD,0.15,421,44.42,0.333,1.38,15.4,4.11
USDCAD,0.5,162,41.98,0.259,1.22,0.0,-6.02
USDCAD,0.3,308,40.91,0.227,1.2,0.0,-7.09
USDCAD,0.8,52,40.38,0.212,1.35,0.0,-17.62
