entry_time,exit_time,side,entry,sl,tp,exit,qty,pnl,balance_after,result,exit_minus_entry,cumulative_pnl
2025-06-07 16:05:00+00:00,2025-06-07 18:15:00+00:00,sell,151.38,152.07,150.69,150.69,144.92753623188455,100.0,10100.0,win,-0.6899999999999977,100.0
2025-06-07 18:40:00+00:00,2025-06-08 02:35:00+00:00,sell,150.35999999999999,151.22,149.49999999999997,149.49999999999997,117.44186046511442,101.0,10201.0,win,-0.8600000000000136,201.0
2025-06-08 02:45:00+00:00,2025-06-08 03:45:00+00:00,sell,149.41,150.1,148.72,148.72,147.84057971014542,102.01,10303.01,win,-0.6899999999999977,303.01
2025-06-08 04:05:00+00:00,2025-06-08 04:40:00+00:00,sell,148.67,149.49,147.84999999999997,149.49,125.64646341463084,-103.0301,10199.9799,loss,0.8200000000000216,199.9799
2025-06-08 05:55:00+00:00,2025-06-08 06:35:00+00:00,sell,149.37,149.72,149.02,149.72,291.4279971428619,-101.99979900000001,10097.980101000001,loss,0.3499999999999943,97.98010099999998
2025-06-08 07:10:00+00:00,2025-06-08 07:35:00+00:00,sell,149.13,149.77,148.48999999999998,149.77,157.78093907812138,-100.97980101000002,9997.00029999,loss,0.6400000000000148,-2.9997000100000406
2025-06-08 08:55:00+00:00,2025-06-08 09:25:00+00:00,sell,149.31,149.9,148.72,149.9,169.440683050677,-99.9700029999,9897.0302969901,loss,0.5900000000000034,-102.96970300990004
2025-06-08 10:30:00+00:00,2025-06-08 10:55:00+00:00,sell,149.33,149.94,148.72000000000003,148.72000000000003,162.24639831131708,98.97030296990103,9996.000599960002,win,-0.6099999999999852,-3.999400039999017
2025-06-08 11:35:00+00:00,2025-06-08 12:15:00+00:00,sell,148.59,149.38,147.8,147.8,126.53165316405193,99.96000599960001,10095.9606059596,win,-0.789999999999992,95.960605959601
2025-06-08 12:25:00+00:00,2025-06-08 14:20:00+00:00,sell,147.71,148.76,146.66000000000003,148.76,96.15200577104538,-100.95960605959601,9995.000999900005,loss,1.049999999999983,-4.9990000999950155
2025-06-08 15:35:00+00:00,2025-06-08 16:30:00+00:00,sell,148.60999999999999,149.32,147.89999999999998,149.32,140.77466197042102,-99.95000999900005,9895.050989901005,loss,0.710000000000008,-104.94901009899506
2025-06-08 20:05:00+00:00,2025-06-08 20:10:00+00:00,buy,151.67,151.2,152.14,152.14,210.53299978512828,98.95050989901006,9994.001499800015,win,0.46999999999999886,-5.998500199985003
2025-06-08 20:35:00+00:00,2025-06-08 23:00:00+00:00,buy,152.75,151.25,154.25,154.25,66.62667666533343,99.94001499800015,10093.941514798014,win,1.5,93.94151479801515
2025-06-09 00:40:00+00:00,2025-06-09 00:50:00+00:00,buy,153.91,153.35,154.47,154.47,180.24895562139238,100.93941514798014,10194.880929945995,win,0.5600000000000023,194.8809299459953
2025-06-09 03:30:00+00:00,2025-06-09 03:45:00+00:00,buy,152.15,151.56,152.74,151.56,172.79459203298197,-101.94880929945995,10092.932120646536,loss,-0.5900000000000034,92.93212064653534
2025-06-09 10:20:00+00:00,2025-06-09 11:35:00+00:00,sell,149.51,150.49,148.52999999999997,150.49,102.98910327190151,-100.92932120646536,9992.00279944007,loss,0.9800000000000182,-7.997200559930022
2025-06-09 12:10:00+00:00,2025-06-09 12:35:00+00:00,buy,151.22,150.13,152.31,152.31,91.66975045357833,99.9200279944007,10091.922827434471,win,1.0900000000000034,91.92282743447068
2025-06-09 12:45:00+00:00,2025-06-09 13:10:00+00:00,buy,152.37,150.73,154.01000000000002,154.01000000000002,61.53611480142915,100.91922827434472,10192.842055708816,win,1.6400000000000148,192.8420557088154
2025-06-09 13:20:00+00:00,2025-06-09 14:15:00+00:00,buy,154.13,152.7,155.56,155.56,71.27861577418719,101.92842055708816,10294.770476265903,win,1.4300000000000068,294.77047626590354
2025-06-09 14:35:00+00:00,2025-06-09 15:05:00+00:00,buy,155.75,154.35999999999999,157.14000000000001,154.35999999999999,74.06309695155247,-102.94770476265903,10191.822771503244,loss,-1.3900000000000148,191.8227715032445
2025-06-09 17:25:00+00:00,2025-06-09 18:10:00+00:00,buy,153.66,152.48,154.84,154.84,86.37137941951852,101.91822771503244,10293.740999218277,win,1.1800000000000068,293.74099921827695
2025-06-09 19:15:00+00:00,2025-06-10 00:00:00+00:00,buy,155.01,153.17,156.85,156.85,55.94424456096879,102.93740999218276,10396.678409210459,win,1.8400000000000034,396.67840921045973
2025-06-10 00:10:00+00:00,2025-06-10 00:25:00+00:00,buy,156.94,155.71,158.17,158.17,84.52584072528899,103.96678409210459,10500.645193302564,win,1.2299999999999898,500.64519330256434
2025-06-10 00:35:00+00:00,2025-06-10 02:40:00+00:00,buy,158.77,156.74,160.8,160.8,51.72731622316531,105.00645193302564,10605.65164523559,win,2.030000000000001,605.65164523559
2025-06-10 03:25:00+00:00,2025-06-10 05:05:00+00:00,buy,161.07,158.97,163.17,158.97,50.503103072550566,-106.05651645235591,10499.595128783234,loss,-2.0999999999999943,499.59512878323403
2025-06-10 08:15:00+00:00,2025-06-10 08:20:00+00:00,buy,158.86,158.07,159.65000000000003,158.07,132.9062674529489,-104.99595128783234,10394.599177495402,loss,-0.7900000000000205,394.5991774954017
2025-06-10 09:35:00+00:00,2025-06-10 13:05:00+00:00,buy,157.56,156.7,158.42000000000002,158.42000000000002,120.86743229645624,103.94599177495402,10498.545169270355,win,0.8600000000000136,498.5451692703557
2025-06-10 13:15:00+00:00,2025-06-10 13:35:00+00:00,buy,158.61,157.81,159.41000000000003,157.81,131.2318146158776,-104.98545169270356,10393.559717577651,loss,-0.8000000000000114,393.5597175776521
2025-06-10 14:25:00+00:00,2025-06-10 14:35:00+00:00,buy,159.0,157.63,160.37,160.37,75.86539939837677,103.93559717577652,10497.495314753427,win,1.3700000000000045,497.49531475342866
2025-06-10 14:45:00+00:00,2025-06-10 16:40:00+00:00,buy,160.47,157.68,163.26,157.68,37.62543123567548,-104.97495314753428,10392.520361605893,loss,-2.789999999999992,392.5203616058944
2025-06-10 21:40:00+00:00,2025-06-10 21:45:00+00:00,buy,157.97,157.16,158.78,158.78,128.30272051365264,103.92520361605894,10496.445565221953,win,0.8100000000000023,496.4455652219533
2025-06-10 21:55:00+00:00,2025-06-10 22:00:00+00:00,buy,160.44,157.49,163.39,163.39,35.58117140753218,104.96445565221953,10601.410020874173,win,2.9499999999999886,601.4100208741728
