symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
EURSEK,0.0,416,49.28,0.478,1.75,46.2,24.36
EURSEK,0.15,316,45.89,0.377,1.53,7.7,1.73
EURSEK,0.3,218,44.95,0.349,1.44,7.7,0.8
EURSEK,0.5,111,44.14,0.324,1.37,0.0,-13.86
EURSEK,0.8,23,43.48,0.304,1.3,0.0,-14.52
