entry_time,exit_time,side,entry,sl,tp,exit,qty,pnl,balance_after,result,exit_minus_entry,cumulative_pnl
2025-06-07 14:05:00+00:00,2025-06-07 15:40:00+00:00,sell,252.93,253.94,251.92000000000002,253.94,99.00990099009991,-100.0,9900.0,loss,1.009999999999991,-100.0
2025-06-07 17:10:00+00:00,2025-06-07 19:00:00+00:00,buy,256.72999999999996,254.96,258.4999999999999,258.4999999999999,55.93220338983198,98.99999999999841,9998.999999999998,win,1.769999999999925,-1.0000000000015916
2025-06-07 19:10:00+00:00,2025-06-07 20:15:00+00:00,buy,258.90999999999997,256.78000000000003,261.0399999999999,256.78000000000003,46.94366197183233,-99.98999999999998,9899.009999999998,loss,-2.1299999999999386,-100.99000000000157
2025-06-07 21:20:00+00:00,2025-06-07 21:50:00+00:00,buy,257.84999999999997,256.41,259.2899999999999,256.41,68.7431250000028,-98.99009999999997,9800.0199,loss,-1.4399999999999409,-199.98010000000153
2025-06-07 23:05:00+00:00,2025-06-07 23:10:00+00:00,buy,257.35999999999996,256.32000000000005,258.39999999999986,258.39999999999986,94.23096057693152,98.000199,9898.020099,win,1.0399999999999068,-101.97990100000153
2025-06-07 23:20:00+00:00,2025-06-08 03:05:00+00:00,buy,259.96999999999997,256.32000000000005,263.6199999999999,256.32000000000005,27.1178632849321,-98.98020099,9799.03989801,loss,-3.6499999999999204,-200.96010199000153
2025-06-08 09:55:00+00:00,2025-06-08 10:15:00+00:00,sell,253.71,254.44,252.98000000000002,254.44,134.23342326041285,-97.99039898010001,9701.0494990299,loss,0.7299999999999898,-298.95050097010153
2025-06-08 12:00:00+00:00,2025-06-08 12:25:00+00:00,sell,254.03,254.9,253.16,253.16,111.50631608080286,97.010494990299,9798.0599940202,win,-0.8700000000000045,-201.94000597980255
2025-06-08 13:00:00+00:00,2025-06-08 14:20:00+00:00,sell,252.57,254.27,250.86999999999998,254.27,57.63564702364766,-97.980599940202,9700.079394079998,loss,1.700000000000017,-299.92060592000456
2025-06-08 15:25:00+00:00,2025-06-08 16:45:00+00:00,sell,252.55,254.75,250.35000000000002,254.75,44.09126997309113,-97.00079394079998,9603.078600139197,loss,2.1999999999999886,-396.9213998608045
2025-06-08 17:00:00+00:00,2025-06-08 19:35:00+00:00,sell,252.24,254.91,249.57000000000002,254.91,35.96658651737544,-96.03078600139197,9507.047814137804,loss,2.6699999999999875,-492.9521858621965
2025-06-08 23:30:00+00:00,2025-06-09 01:05:00+00:00,buy,256.55999999999995,255.28,257.8399999999999,255.28,74.27381104795484,-95.07047814137805,9411.977335996426,loss,-1.2799999999999443,-588.0226640035745
2025-06-09 03:05:00+00:00,2025-06-09 03:35:00+00:00,sell,253.10999999999999,254.25,251.96999999999997,251.96999999999997,82.56120470172196,94.11977335996426,9506.09710935639,win,-1.1400000000000148,-493.90289064361025
2025-06-09 03:45:00+00:00,2025-06-09 04:30:00+00:00,sell,251.85,253.46,250.23999999999998,253.46,59.04408142457335,-95.0609710935639,9411.036138262825,loss,1.6100000000000136,-588.9638617371742
2025-06-09 05:45:00+00:00,2025-06-09 09:45:00+00:00,sell,251.6,254.12,249.07999999999998,254.12,37.34538150104281,-94.11036138262826,9316.925776880196,loss,2.5200000000000102,-683.0742231198025
2025-06-09 11:05:00+00:00,2025-06-09 11:30:00+00:00,sell,253.27,254.41,252.13000000000002,252.13000000000002,81.7274190954413,93.16925776880197,9410.095034648999,win,-1.1399999999999864,-589.9049653510006
2025-06-09 13:10:00+00:00,2025-06-09 13:15:00+00:00,buy,255.48,253.33,257.63,257.63,43.76788388208883,94.10095034649123,9504.195984995491,win,2.1500000000000057,-495.8040150045093
2025-06-09 13:25:00+00:00,2025-06-09 19:20:00+00:00,buy,258.51,253.66,263.36,263.36,19.596280381434024,95.04195984995546,9599.237944845447,win,4.850000000000023,-400.7620551545539
2025-06-09 19:30:00+00:00,2025-06-09 21:35:00+00:00,buy,263.72999999999996,261.47,265.9899999999999,265.9899999999999,42.474504180733305,95.99237944845447,9695.230324293902,win,2.259999999999934,-304.7696757060994
2025-06-09 21:50:00+00:00,2025-06-09 22:25:00+00:00,buy,266.47999999999996,264.83000000000004,268.1299999999999,268.1299999999999,58.758971662390124,96.95230324293902,9792.18262753684,win,1.6499999999999204,-207.81737246316038
2025-06-09 23:40:00+00:00,2025-06-10 00:00:00+00:00,buy,268.53,266.84000000000003,270.2199999999999,270.2199999999999,57.94190903868156,97.9218262753684,9890.104453812208,win,1.6899999999999409,-109.89554618779198
2025-06-10 00:10:00+00:00,2025-06-10 00:25:00+00:00,buy,270.41999999999996,268.07000000000005,272.76999999999987,272.76999999999987,42.08555086728762,98.90104453812208,9989.00549835033,win,2.349999999999909,-10.9945016496699
2025-06-10 00:40:00+00:00,2025-06-10 02:00:00+00:00,buy,275.52,270.08000000000004,280.9599999999999,280.9599999999999,18.362142460203014,99.8900549835033,10088.895553333834,win,5.439999999999941,88.8955533338334
2025-06-10 02:15:00+00:00,2025-06-10 02:40:00+00:00,buy,281.23999999999995,277.89000000000004,284.58999999999986,284.58999999999986,30.116106129355547,100.88895553333835,10189.784508867173,win,3.349999999999909,189.78450886717175
2025-06-10 02:50:00+00:00,2025-06-10 04:55:00+00:00,buy,284.78999999999996,280.13000000000005,289.4499999999999,289.4499999999999,21.866490362376325,101.89784508867173,10291.682353955845,win,4.659999999999911,291.6823539558435
2025-06-10 05:35:00+00:00,2025-06-10 08:10:00+00:00,buy,289.76,286.53000000000003,292.98999999999995,292.98999999999995,31.862793665498355,102.91682353955845,10394.599177495404,win,3.2299999999999613,394.59917749540193
2025-06-10 09:25:00+00:00,2025-06-10 12:20:00+00:00,buy,290.53999999999996,288.08000000000004,292.9999999999999,292.9999999999999,42.25446820120216,103.94599177495404,10498.545169270357,win,2.4599999999999227,498.545169270356
2025-06-10 12:30:00+00:00,2025-06-10 13:15:00+00:00,buy,293.98999999999995,290.09000000000003,297.8899999999999,297.8899999999999,26.91934658787326,104.98545169270358,10603.530620963062,win,3.8999999999999204,603.5306209630596
2025-06-10 13:40:00+00:00,2025-06-10 13:45:00+00:00,buy,298.39,295.43,301.34999999999997,301.34999999999997,35.822738584334914,106.03530620963062,10709.565927172693,win,2.9599999999999795,709.5659271726902
2025-06-10 13:55:00+00:00,2025-06-10 14:15:00+00:00,buy,301.69,296.09000000000003,307.28999999999996,307.28999999999996,19.124224869951355,107.09565927172694,10816.66158644442,win,5.599999999999966,816.6615864444171
2025-06-10 14:25:00+00:00,2025-06-10 14:40:00+00:00,buy,307.55999999999995,300.04,315.07999999999987,315.07999999999987,14.383858492612404,108.1666158644442,10924.828202308863,win,7.519999999999925,924.8282023088614
2025-06-10 18:15:00+00:00,2025-06-10 18:30:00+00:00,buy,310.53,305.53000000000003,315.5299999999999,305.53000000000003,21.849656404617974,-109.24828202308863,10815.579920285774,loss,-4.999999999999943,815.5799202857727
2025-06-10 20:05:00+00:00,2025-06-10 22:35:00+00:00,buy,305.94,301.92,309.96,309.96,26.904427662402547,108.15579920285775,10923.735719488632,win,4.019999999999982,923.7357194886305
2025-06-10 23:50:00+00:00,2025-06-11 01:00:00+00:00,buy,306.28999999999996,302.88000000000005,309.6999999999999,309.6999999999999,32.03441559967424,109.23735719488631,11032.973076683518,win,3.4099999999999113,1032.9730766835169
2025-06-11 01:15:00+00:00,2025-06-11 01:30:00+00:00,buy,310.59,307.44000000000005,313.7399999999999,307.44000000000005,35.02531135455174,-110.3297307668352,10922.643345916684,loss,-3.1499999999999204,922.6433459166817
