entry_time,exit_time,side,entry,sl,tp,exit,qty,pnl,balance_after,result,exit_minus_entry,cumulative_pnl
2025-06-07 09:50:00+00:00,2025-06-07 19:30:00+00:00,buy,13.991999999999999,13.867,14.116999999999997,13.867,800.0000000000114,-100.0,9900.0,loss,-0.12499999999999822,-100.0
2025-06-07 19:45:00+00:00,2025-06-08 12:15:00+00:00,sell,13.805000000000001,13.968,13.642000000000003,13.642000000000003,607.3619631901897,99.0,9999.0,win,-0.16299999999999848,-1.0
2025-06-08 12:25:00+00:00,2025-06-08 14:35:00+00:00,sell,13.588000000000001,13.744,13.432000000000002,13.744,640.9615384615435,-99.99000000000001,9899.01,loss,0.1559999999999988,-100.99000000000001
2025-06-08 23:10:00+00:00,2025-06-09 01:30:00+00:00,buy,13.914,13.804,14.024,13.804,899.9100000000046,-98.9901,9800.0199,loss,-0.10999999999999943,-199.9801
2025-06-09 07:25:00+00:00,2025-06-09 08:55:00+00:00,sell,13.641,13.738,13.544,13.544,1010.3113298969121,98.000199,9898.020099,win,-0.09699999999999953,-101.979901
2025-06-09 11:20:00+00:00,2025-06-09 12:35:00+00:00,sell,13.572000000000001,13.693999999999999,13.450000000000003,13.693999999999999,811.313122868865,-98.98020099,9799.03989801,loss,0.12199999999999811,-200.96010199
2025-06-09 17:15:00+00:00,2025-06-09 19:15:00+00:00,buy,13.860999999999999,13.707,14.014999999999997,14.014999999999997,636.3012920785791,97.9903989801,9897.0302969901,win,0.15399999999999814,-102.9697030099
2025-06-09 19:25:00+00:00,2025-06-10 00:25:00+00:00,buy,14.062,13.877,14.246999999999998,14.246999999999998,534.9746106481173,98.97030296990101,9996.000599960002,win,0.18499999999999872,-3.9994000399989886
2025-06-10 01:00:00+00:00,2025-06-10 04:35:00+00:00,buy,14.315,14.044,14.585999999999999,14.585999999999999,368.8561106996324,99.96000599960001,10095.9606059596,win,0.270999999999999,95.96060595960103
2025-06-10 05:50:00+00:00,2025-06-10 06:30:00+00:00,buy,14.594999999999999,14.434000000000001,14.755999999999997,14.434000000000001,627.078298506816,-100.95960605959601,9995.000999900005,loss,-0.1609999999999978,-4.999000099994987
2025-06-10 08:10:00+00:00,2025-06-10 08:25:00+00:00,buy,14.469999999999999,14.369,14.570999999999998,14.369,989.6040593960489,-99.95000999900005,9895.050989901005,loss,-0.10099999999999909,-104.94901009899503
