symbol,quarter,trades,wins,WR_%,exp_R,PF,pass
CHFJPY,2023Q1,25,10,40.0,0.088,1.18,False
CHFJPY,2023Q2,32,17,53.12,0.338,1.77,True
CHFJPY,2023Q3,33,21,63.64,0.712,3.1,True
CHFJPY,2023Q4,39,22,56.41,0.459,2.23,True
CHFJPY,2024Q1,22,8,36.36,0.127,1.22,False
CHFJPY,2024Q2,31,17,54.84,0.51,2.22,True
CHFJPY,2024Q3,23,11,47.83,0.281,1.54,False
CHFJPY,2024Q4,14,5,35.71,-0.057,0.91,False
CHFJPY,2025Q1,20,8,40.0,0.131,1.22,False
CHFJPY,2025Q2,29,11,37.93,0.08,1.14,False
CHFJPY,2025Q3,33,13,39.39,-0.031,0.95,False
CHFJPY,2025Q4,30,13,43.33,0.265,1.48,False
CHFJPY,2026Q1,9,5,55.56,0.546,2.23,False
