symbol,samples,median_pips,mean_pips,max_pips,median_points,max_points
USB,20,1.0,1.0,1.0,10.0,10
USDJPY,20,1.0,0.9550000000000001,1.1,10.0,11
LYFT,20,1.0,1.0,1.0,10.0,10
M,20,1.0,1.0,1.0,10.0,10
MAC,20,1.0,1.0,1.0,10.0,10
F,20,1.0,1.0,1.0,10.0,10
VTRS,20,1.0,1.0,1.0,10.0,10
MTG,20,1.0,1.0,1.0,10.0,10
MVST,20,1.0,1.0,1.0,10.0,10
NAVI,20,1.0,1.0,1.0,10.0,10
NCLH,20,1.0,1.0,1.0,10.0,10
NGD,20,1.0,1.0,1.0,10.0,10
NIO,20,1.0,1.0,1.0,10.0,10
OMI,20,1.0,1.0,1.0,10.0,10
OPFI,20,1.0,1.0,1.0,10.0,10
NLY,20,1.0,1.0,1.0,10.0,10
NVAX,20,1.0,1.0,1.0,10.0,10
WFC,20,1.0,1.0,1.0,10.0,10
AMH,20,1.0,1.0,1.0,10.0,10
WEN,20,1.0,1.0,1.0,10.0,10
AMX,20,1.0,1.0,1.0,10.0,10
VOD,20,1.0,1.0,1.0,10.0,10
WBA,20,1.0,1.0,1.0,10.0,10
VZ,20,1.0,1.0,1.0,10.0,10
AEO,20,1.0,1.0,1.0,10.0,10
BNP.i,20,1.05,1.07,1.3,10.5,13
WB,20,1.1,1.1,1.1,11.0,11
AES,20,1.1,1.1,1.1,11.0,11
AGNC,20,1.1,1.1,1.1,11.0,11
NMRK,20,1.1,1.1,1.1,11.0,11
ALKS,20,1.1,1.1,1.1,11.0,11
AMCR,20,1.1,1.1,1.1,11.0,11
OKTA,20,1.1,1.1,1.1,11.0,11
ABNB,20,1.1,1.1,1.1,11.0,11
FAST,20,1.1,1.1,1.1,11.0,11
FCX,20,1.1,1.1,1.1,11.0,11
MRNA,20,1.1,1.1,1.1,11.0,11
PFGC,20,1.1,1.1,1.1,11.0,11
PBI,20,1.1,1.1,1.1,11.0,11
CTRA,20,1.1,1.1,1.1,11.0,11
CTSH,20,1.1,1.1,1.1,11.0,11
HOOD,20,1.1,1.1,1.1,11.0,11
HPQ,20,1.1,1.1,1.1,11.0,11
IEP,20,1.1,1.1,1.1,11.0,11
PNNT,20,1.1,1.1,1.1,11.0,11
PRGO,20,1.1,1.1,1.1,11.0,11
SSNC,20,1.1,1.1,1.1,11.0,11
IPG,20,1.1,1.1,1.1,11.0,11
DOCU,20,1.1,1.1,1.1,11.0,11
DOW,20,1.1,1.1,1.1,11.0,11
HAL,20,1.1,1.1,1.1,11.0,11
HBI,20,1.1,1.1,1.1,11.0,11
CPRT,20,1.1,1.1,1.1,11.0,11
CSIQ,20,1.1,1.1,1.1,11.0,11
PYPL,20,1.1,1.1,1.1,11.0,11
RF,20,1.1,1.1,1.1,11.0,11
TTD,20,1.1,1.1,1.1,11.0,11
COTTONJUL26,20,1.1,1.1,1.1,11.0,11
KMT,20,1.1,1.1,1.1,11.0,11
CHPT,20,1.1,1.1,1.1,11.0,11
CMG,20,1.1,1.1,1.1,11.0,11
CNK,20,1.1,1.1,1.1,11.0,11
ORI,20,1.1,1.1,1.1,11.0,11
LC,20,1.1,1.1,1.1,11.0,11
MKC,20,1.1,1.1,1.1,11.0,11
VFS,20,1.1,1.1,1.1,11.0,11
BKR,20,1.1,1.1,1.1,11.0,11
SPR,20,1.1,1.1,1.1,11.0,11
SKX,20,1.1,1.1,1.1,11.0,11
SOCIETE.i,20,1.1,1.07,1.3,11.0,13
FITB,20,1.1,1.1,1.1,11.0,11
FLO,20,1.1,1.1,1.1,11.0,11
AAL,20,1.1,1.1,1.1,11.0,11
EQH,20,1.1,1.1,1.1,11.0,11
GDDY,20,1.1,1.1,1.1,11.0,11
GEN,20,1.1,1.1,1.1,11.0,11
AZPN,20,1.1,1.1,1.1,11.0,11
GIL,20,1.1,1.1,1.1,11.0,11
BSX,20,1.1,1.1,1.1,11.0,11
BMO,20,1.1,1.1,1.1,11.0,11
BUD,20,1.1,1.1,1.1,11.0,11
BFB,20,1.1,1.1,1.1,11.0,11
BAX,20,1.1,1.1,1.1,11.0,11
AUPH,20,1.1,1.1,1.1,11.0,11
AVXUSD.i,20,1.1,1.08,1.2,11.0,12
AXSUSD.i,20,1.1,1.105,1.2,11.0,12
LUV,20,1.1,1.1,1.1,11.0,11
WU,20,1.1,1.1,1.1,11.0,11
ASX,20,1.1,1.1,1.1,11.0,11
ASAN,20,1.1,1.1,1.1,11.0,11
MPLX,20,1.1,1.1,1.1,11.0,11
APA,20,1.1,1.1,1.1,11.0,11
WMT,20,1.1,1.1,1.1,11.0,11
MRK,20,1.1,1.1,1.1,11.0,11
ACB,20,1.1,1.1,1.1,11.0,11
FIS,20,1.1,1.1,1.1,11.0,11
GBPUSD.i,20,1.15,1.155,1.3,11.5,13
XTZUSD.i,20,1.15,1.185,1.3,11.5,13
EURGBP.i,20,1.2,1.175,1.4,12.0,14
GPRO,20,1.2,1.2,1.2,12.0,12
EPD,20,1.2,1.2,1.2,12.0,12
FOXA,20,1.2,1.2,1.2,12.0,12
GBPJPY.i,20,1.2,1.1949999999999998,1.4,12.0,14
NVDA,20,1.2,1.2,1.2,12.0,12
MUR,20,1.2,1.2,1.2,12.0,12
BNS,20,1.2,1.2,1.2,12.0,12
SU,20,1.2,1.2,1.2,12.0,12
UPS,20,1.2,1.2,1.2,12.0,12
LVS,20,1.2,1.2,1.2,12.0,12
BRO,20,1.2,1.2,1.2,12.0,12
DHI,20,1.2,1.2,1.2,12.0,12
EGO,20,1.2,1.2,1.2,12.0,12
MAN,20,1.2,1.2,1.2,12.0,12
PLTR,20,1.2,1.2,1.2,12.0,12
LNT,20,1.2,1.2,1.2,12.0,12
KR,20,1.2,1.2,1.2,12.0,12
XLMUSD.i,20,1.2,1.185,1.3,12.0,13
TTE,20,1.2,1.2,1.2,12.0,12
WMB,20,1.2,1.2,1.2,12.0,12
AG,20,1.2,1.2,1.2,12.0,12
ADT,20,1.2,1.2,1.2,12.0,12
UDR,20,1.2,1.2,1.2,12.0,12
RBLX,20,1.2,1.2,1.2,12.0,12
CZR,20,1.2,1.2,1.2,12.0,12
DAL,20,1.2,1.2,1.2,12.0,12
SWKS,20,1.3,1.3,1.3,13.0,13
