exit_time,symbol,net_$,equity_$,drawdown_%
2023-01-19 15:30:00,EURJPY,-3.44,1119.49,-1.3
2023-01-19 15:30:00,EURCAD,-2.44,1117.05,-1.52
2023-01-19 23:40:00,GBPUSD,7.56,1124.61,-0.85
2023-01-19 15:55:00,EURJPY,3.16,1127.77,-0.57
2023-01-19 20:35:00,EURJPY,-5.18,1122.59,-1.03
2023-01-20 01:00:00,GBPCAD,5.0,1127.59,-0.59
2023-01-19 17:30:00,EURCAD,-3.31,1124.28,-0.88
2023-01-19 18:35:00,EURCAD,2.38,1126.66,-0.67
2023-01-20 02:40:00,EURCAD,2.15,1128.81,-0.48
2023-01-20 17:25:00,EURJPY,-5.46,1123.35,-0.96
2023-01-20 16:30:00,XAUUSD,-3.9,1119.45,-1.3
2023-01-23 00:00:00,AUDCAD,-2.22,1117.23,-1.5
2023-01-20 21:30:00,GBPUSD,8.26,1125.49,-0.77
2023-01-20 17:25:00,XAUUSD,10.32,1135.81,0.0
2023-01-23 15:35:00,AUDCAD,-2.02,1133.79,-0.18
2023-01-23 23:35:00,EURJPY,3.11,1136.9,0.0
2023-01-23 17:30:00,AUDCAD,2.26,1139.16,0.0
2023-01-23 17:45:00,USDMXN,4.11,1143.27,0.0
2023-01-24 15:25:00,AUDCAD,2.87,1146.14,0.0
2023-01-24 23:20:00,EURCAD,2.7,1148.84,0.0
2023-01-24 16:50:00,EURJPY,4.46,1153.3,0.0
2023-01-25 00:00:00,AUDCAD,0.45,1153.75,0.0
2023-01-25 02:15:00,XAUUSD,16.28,1170.03,0.0
2023-01-24 21:55:00,USDMXN,5.52,1175.55,0.0
2023-01-25 17:05:00,XAUUSD,18.82,1194.37,0.0
2023-01-25 17:00:00,EURCAD,4.85,1199.22,0.0
2023-01-25 17:00:00,AUDCAD,2.58,1201.8,0.0
2023-01-25 17:00:00,GBPUSD,8.17,1209.97,0.0
2023-01-25 17:00:00,GBPCAD,6.83,1216.8,0.0
2023-01-26 01:05:00,AUDCAD,2.3,1219.1,0.0
2023-01-26 01:05:00,EURCAD,-3.09,1216.01,-0.25
2023-01-26 01:05:00,GBPUSD,5.28,1221.29,0.0
2023-01-26 15:30:00,GBPUSD,-2.88,1218.41,-0.24
2023-01-26 15:30:00,AUDCAD,-1.26,1217.15,-0.34
2023-01-26 16:20:00,EURJPY,4.48,1221.63,0.0
2023-01-26 17:35:00,GBPUSD,-7.6,1214.03,-0.62
2023-01-26 16:20:00,AUDCAD,-3.86,1210.17,-0.94
2023-01-27 00:35:00,EURJPY,-1.13,1209.04,-1.03
2023-01-27 15:45:00,EURCAD,-1.67,1207.37,-1.17
2023-01-27 16:10:00,GBPUSD,-3.18,1204.19,-1.43
2023-01-30 00:20:00,EURCAD,1.46,1205.65,-1.31
2023-01-27 17:50:00,GBPUSD,-6.61,1199.04,-1.85
2023-01-27 18:05:00,USDMXN,-4.06,1194.98,-2.18
2023-01-30 02:20:00,USDMXN,0.83,1195.81,-2.11
2023-01-27 19:50:00,GBPUSD,2.69,1198.5,-1.89
2023-01-30 17:10:00,EURCAD,-2.48,1196.02,-2.1
2023-01-31 00:10:00,USDMXN,0.26,1196.28,-2.08
2023-01-30 16:20:00,GBPCAD,-1.62,1194.66,-2.21
2023-01-30 19:15:00,EURJPY,-2.39,1192.27,-2.4
2023-01-30 16:45:00,GBPCAD,-2.55,1189.72,-2.61
2023-01-30 17:05:00,GBPCAD,-3.13,1186.59,-2.87
2023-01-31 01:35:00,GBPCAD,1.86,1188.45,-2.72
