exit_time,symbol,net_$,equity_$,drawdown_%
2026-03-12 00:25:00,EURCAD,2.63,1021.56,-5.5
2026-03-12 01:10:00,GBPUSD,5.76,1027.32,-4.96
2026-03-12 02:05:00,GBPCAD,4.19,1031.51,-4.58
2026-03-12 14:50:00,XAUUSD,27.43,1058.94,-2.04
2026-03-12 15:20:00,XAUUSD,-35.39,1023.55,-5.31
2026-03-12 19:20:00,EURCAD,-3.87,1019.68,-5.67
2026-03-12 23:55:00,GBPCAD,-1.24,1018.44,-5.79
2026-03-12 23:55:00,GBPUSD,4.9,1023.34,-5.33
2026-03-12 23:00:00,EURJPY,-1.83,1021.51,-5.5
2026-03-12 20:30:00,EURCAD,1.88,1023.39,-5.33
2026-03-13 15:35:00,XAUUSD,29.9,1053.29,-2.56
2026-03-13 22:00:00,AUDCAD,7.12,1060.41,-1.9
2026-03-13 16:45:00,XAUUSD,63.63,1124.04,0.0
2026-03-13 21:10:00,EURJPY,3.63,1127.67,0.0
2026-03-13 17:40:00,GBPUSD,6.93,1134.6,0.0
2026-03-13 17:40:00,USDMXN,12.61,1147.21,0.0
2026-03-16 01:55:00,GBPUSD,-1.34,1145.87,-0.12
2026-03-16 14:25:00,XAUUSD,-46.05,1099.82,-4.13
2026-03-16 15:15:00,XAUUSD,-20.94,1078.88,-5.96
2026-03-16 16:05:00,XAUUSD,-14.82,1064.06,-7.25
2026-03-16 18:50:00,EURJPY,3.62,1067.68,-6.93
2026-03-16 16:30:00,XAUUSD,40.34,1108.02,-3.42
2026-03-17 03:05:00,EURJPY,0.1,1108.12,-3.41
2026-03-16 21:10:00,XAUUSD,-11.97,1096.15,-4.45
2026-03-16 22:10:00,XAUUSD,-18.27,1077.88,-6.04
2026-03-17 15:30:00,XAUUSD,-14.65,1063.23,-7.32
2026-03-17 23:05:00,EURJPY,0.28,1063.51,-7.3
2026-03-18 01:05:00,XAUUSD,19.8,1083.31,-5.57
2026-03-18 17:05:00,GBPUSD,-4.83,1078.48,-5.99
2026-03-18 20:55:00,EURJPY,-3.29,1075.19,-6.28
2026-03-18 19:55:00,GBPCAD,-3.99,1071.2,-6.63
2026-03-19 02:15:00,EURCAD,4.44,1075.64,-6.24
2026-03-18 20:00:00,XAUUSD,19.9,1095.54,-4.5
2026-03-18 21:00:00,XAUUSD,64.36,1159.9,0.0
2026-03-19 15:30:00,GBPCAD,-3.72,1156.18,-0.32
2026-03-19 17:05:00,GBPCAD,12.33,1168.51,0.0
2026-03-22 23:45:00,GBPUSD,9.26,1177.77,0.0
2026-03-20 16:25:00,EURJPY,-1.74,1176.03,-0.15
2026-03-22 23:00:00,GBPCAD,9.58,1185.61,0.0
2026-03-20 18:00:00,EURJPY,3.74,1189.35,0.0
2026-03-22 23:00:00,EURJPY,-2.78,1186.57,-0.23
2026-03-23 23:10:00,EURJPY,0.93,1187.5,-0.16
2026-03-24 02:20:00,XAUUSD,69.78,1257.28,0.0
2026-03-23 17:55:00,AUDCAD,7.05,1264.33,0.0
2026-03-24 02:50:00,GBPCAD,2.15,1266.48,0.0
2026-03-24 16:25:00,GBPUSD,-7.27,1259.21,-0.57
2026-03-24 16:50:00,GBPCAD,5.36,1264.57,-0.15
2026-03-24 17:25:00,EURCAD,3.76,1268.33,0.0
2026-03-25 00:05:00,EURJPY,3.75,1272.08,0.0
2026-03-25 00:55:00,GBPCAD,5.27,1277.35,0.0
2026-03-24 22:25:00,GBPUSD,-6.79,1270.56,-0.53
2026-03-24 19:05:00,EURCAD,-2.12,1268.44,-0.7
2026-03-24 21:05:00,AUDCAD,-3.71,1264.73,-0.99
2026-03-25 23:05:00,GBPUSD,6.72,1271.45,-0.46
2026-03-25 17:35:00,EURJPY,-2.69,1268.76,-0.67
2026-03-26 00:50:00,GBPCAD,-1.98,1266.78,-0.83
2026-03-26 03:05:00,EURJPY,1.6,1268.38,-0.7
2026-03-26 16:30:00,GBPCAD,5.57,1273.95,-0.27
2026-03-26 16:30:00,EURCAD,2.04,1275.99,-0.11
2026-03-27 00:40:00,EURCAD,0.05,1276.04,-0.1
2026-03-26 18:25:00,XAUUSD,123.44,1399.48,0.0
2026-03-27 00:55:00,GBPUSD,3.02,1402.5,0.0
2026-03-26 19:55:00,GBPCAD,-4.83,1397.67,-0.34
2026-03-27 16:00:00,XAUUSD,-38.06,1359.61,-3.06
2026-03-30 00:35:00,EURJPY,1.02,1360.63,-2.99
2026-03-30 00:35:00,EURCAD,-1.67,1358.96,-3.1
2026-03-27 18:35:00,GBPCAD,-5.02,1353.94,-3.46
2026-03-30 01:00:00,GBPUSD,10.42,1364.36,-2.72
2026-03-30 00:20:00,AUDCAD,4.44,1368.8,-2.4
2026-03-27 21:45:00,USDMXN,11.7,1380.5,-1.57
2026-03-30 16:50:00,GBPCAD,7.25,1387.75,-1.05
2026-03-30 17:05:00,GBPUSD,9.67,1397.42,-0.36
2026-03-30 16:30:00,AUDCAD,0.7,1398.12,-0.31
2026-03-30 18:05:00,EURCAD,4.46,1402.58,0.0
2026-03-31 00:35:00,AUDCAD,0.88,1403.46,0.0
2026-03-31 01:35:00,GBPCAD,2.07,1405.53,0.0
2026-03-31 02:45:00,EURCAD,-0.4,1405.13,-0.03
2026-03-31 17:55:00,GBPCAD,-6.63,1398.5,-0.5
2026-03-31 23:20:00,EURCAD,6.87,1405.37,-0.01
2026-03-31 16:45:00,EURJPY,-1.83,1403.54,-0.14
2026-03-31 17:55:00,GBPUSD,11.08,1414.62,0.0
2026-04-01 03:15:00,EURJPY,1.94,1416.56,0.0
2026-04-01 00:55:00,GBPCAD,-4.41,1412.15,-0.31
2026-04-01 17:50:00,EURJPY,4.55,1416.7,0.0
2026-04-01 20:30:00,EURCAD,-3.15,1413.55,-0.22
2026-04-01 22:10:00,GBPCAD,-4.97,1408.58,-0.57
2026-04-02 23:05:00,EURJPY,1.27,1409.85,-0.48
2026-04-02 16:55:00,GBPUSD,-3.41,1406.44,-0.72
2026-04-02 17:35:00,EURCAD,4.56,1411.0,-0.4
2026-04-02 17:55:00,GBPCAD,5.6,1416.6,-0.01
2026-04-03 01:55:00,EURCAD,-2.1,1414.5,-0.16
2026-04-03 00:15:00,GBPCAD,-4.16,1410.34,-0.45
2026-04-03 03:10:00,GBPUSD,-0.12,1410.22,-0.46
2026-04-03 15:30:00,GBPUSD,2.15,1412.37,-0.31
2026-04-03 15:30:00,EURCAD,-1.29,1411.08,-0.4
2026-04-03 23:35:00,GBPCAD,4.08,1415.16,-0.11
2026-04-03 23:35:00,GBPUSD,3.04,1418.2,0.0
2026-04-03 17:50:00,EURCAD,-1.35,1416.85,-0.1
2026-04-06 15:50:00,EURJPY,-1.08,1415.77,-0.17
2026-04-06 17:35:00,EURCAD,2.26,1418.03,-0.01
2026-04-06 15:50:00,GBPCAD,-1.62,1416.41,-0.13
2026-04-06 17:25:00,EURJPY,1.93,1418.34,0.0
2026-04-06 17:20:00,GBPCAD,2.57,1420.91,0.0
2026-04-06 17:50:00,GBPCAD,-2.44,1418.47,-0.17
2026-04-07 00:00:00,EURJPY,-1.96,1416.51,-0.31
2026-04-07 17:00:00,AUDCAD,-2.01,1414.5,-0.45
2026-04-07 22:45:00,EURCAD,3.06,1417.56,-0.24
2026-04-07 17:35:00,GBPCAD,-3.44,1414.12,-0.48
2026-04-07 17:20:00,EURJPY,2.12,1416.24,-0.33
2026-04-08 02:00:00,EURJPY,3.01,1419.25,-0.12
