label,symbols,trades,WR_%,avg_R,profit_factor,net_$,return_%,max_DD_%,days
IN-SAMPLE,7,5168,50.62,0.358,1.43,4376.71,437.67,-6.04,1137
FORWARD,7,364,52.75,0.433,1.62,589.62,58.96,-8.61,86
