entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$,ny_hour,win,minutes_held,open,high,low,close,volume,atr_m5,rsi_m5,ema20_m5,ema50_m5,range_m5,ema50_h1,ema_slope_h1,rsi_h1,hi_5d,lo_5d,hi_20d,lo_20d,ema50_d1,rsi_d1,risk_price,risk_atr_m5,trend_ext,slope_align,d1_align,opp5_atr,opp20_atr,sup5_atr,sup20_atr,atr_q
2023-01-04 15:25:00,2023-01-04 17:00:00,L,1857.13,1852.56931,1852.56931,1866.25139,-1.0,sl,-9.12,0.34,-9.46,-9.46,8,False,95.0,1857.13,1859.52,1857.07,1859.02,1086,1.7069276371595794,60.391203462249514,1855.993774709653,1856.798829643667,2.4500000000000455,1839.2408165692013,0.8481299359509649,66.2891662411349,1865.07,1796.94,1865.07,1796.94,1816.1497643188734,,4.560690000000022,2.6718707347133117,10.480340842431577,0.8481299359509649,40.980235681126715,4.6516324577252846,4.6516324577252846,35.262186099558086,35.262186099558086,Q2
2023-01-04 17:30:00,2023-01-04 21:00:00,L,1856.35,1848.52901,1848.52901,1871.99197,-1.0,sl,-15.64,0.34,-15.98,-25.44,10,False,210.0,1856.35,1856.52,1853.39,1855.39,1646,3.5098730325156455,47.54862928585025,1855.906409088295,1856.8715331683566,3.1299999999998818,1840.6308191398125,0.696701259599422,62.29895510659306,1865.07,1796.94,1865.07,1796.94,1816.1497643188734,,7.820989999999938,2.2282828830404635,4.478561108782028,0.696701259599422,40.200235681126514,2.4844203534479727,2.4844203534479727,16.926538210819178,16.926538210819178,Q3
2023-01-04 21:35:00,2023-01-05 06:35:00,L,1851.01,1851.24,1846.80257,1859.42485,0.055,time,0.46,0.34,0.12,-25.32,14,True,540.0,1851.01,1852.12,1850.67,1851.87,739,1.8742622442592967,48.03828550704796,1851.7541908430153,1853.6672944785892,1.449999999999818,1842.4433966511876,0.4072082999516624,53.98115244452693,1865.07,1796.94,1865.07,1796.94,1816.1497643188734,,4.207429999999931,2.2448459455910856,4.5706535331707805,0.4072082999516624,34.860235681126596,7.501618326391897,7.501618326391897,28.848684417354974,28.848684417354974,Q2
2023-01-05 21:00:00,2023-01-05 22:05:00,S,1835.89,1832.58772,1837.54114,1832.58772,2.0,tp,6.6,0.34,6.26,-19.06,14,True,65.0,1835.89,1836.44,1835.47,1835.62,509,1.211389164246044,55.88887991615237,1834.7889420177885,1834.4844988039915,0.9700000000000273,1843.2444003082387,-0.3671183799278879,37.68995910007138,1865.07,1796.94,1865.07,1796.94,1816.805851992643,,1.6511399999999412,1.3630136777949418,6.071046799247138,0.3671183799278879,-19.084148007357044,32.15316856845267,32.15316856845267,24.088047723425994,24.088047723425994,Q1_low
2023-01-09 19:35:00,2023-01-09 19:35:00,L,1870.75,1869.13623,1869.13623,1873.97753,-1.0,sl,-3.23,0.34,-3.57,-22.63,12,False,0.0,1870.75,1870.8,1868.98,1869.95,740,1.7376695366227486,32.91817393117063,1873.3552543802957,1874.499305389298,1.8199999999999363,1861.6932453831596,0.4141532496671516,54.78714788185396,1881.41,1814.23,1881.41,1796.94,1820.8267245806753,,1.6137699999999313,0.9286978714815808,5.21201208052636,0.4141532496671516,49.92327541932468,6.134653209561553,6.134653209561553,32.52632264581766,42.47643090035032,Q2
2023-01-09 19:45:00,2023-01-09 21:50:00,L,1870.82,1874.82313,1868.81843,1874.82313,2.0,tp,8.01,0.34,7.67,-14.96,12,True,125.0,1870.82,1871.0,1869.85,1870.84,723,1.6156717852855318,37.78238644411758,1872.8972490505369,1874.2171750248767,1.150000000000091,1861.6932453831596,0.4141532496671516,54.78714788185396,1881.41,1814.23,1881.41,1796.94,1820.8267245806753,,2.0015699999999015,1.2388469107580358,5.648891501331383,0.4141532496671516,49.99327541932462,6.554549071443129,6.554549071443129,35.02567818252701,45.727109102758355,Q1_low
2023-01-10 15:25:00,2023-01-10 23:25:00,L,1874.18,1877.42,1870.21087,1882.11825,0.816,time,6.48,0.34,6.14,-8.82,8,True,480.0,1874.18,1874.22,1872.59,1873.02,1001,1.3912564555840177,48.13123313781104,1873.0725352395154,1873.710872166375,1.6300000000001091,1867.7912940967558,0.22606962870395364,52.2835275853012,1881.41,1825.0,1881.41,1796.94,1823.022147146139,,3.96912999999995,2.8529103919476873,4.592040437693739,0.22606962870395364,51.15785285386096,5.196741385084915,5.196741385084915,35.34934181445032,55.51816107661935,Q1_low
2023-01-12 17:20:00,2023-01-13 02:20:00,L,1888.06,1900.19,1879.36994,1905.44012,1.396,time,24.26,0.34,23.92,15.1,10,True,540.0,1888.06,1889.03,1886.41,1888.23,1630,4.000606054698691,50.36411990862481,1887.7586661610499,1887.8045046749883,2.619999999999891,1879.5787004893505,0.375971408597934,56.69951513424508,1901.56,1825.0,1901.56,1796.94,1827.8913476731564,,8.690059999999903,2.1721858841345982,2.1200036681162935,0.375971408597934,60.168652326843585,3.3744887188140704,3.3744887188140704,15.762611748771489,22.77654904135835,Q4_high
2023-01-13 14:20:00,2023-01-13 14:25:00,L,1900.74,1898.73885,1898.73885,1904.7423,-1.0,sl,-4.0,0.34,-4.34,10.76,7,False,5.0,1900.74,1901.04,1898.87,1899.09,637,1.4114778408615094,32.412267500597906,1901.923629778209,1902.4526454257716,2.1700000000000728,1890.2026126364535,0.2590770352467189,51.48578072525022,1909.65,1833.17,1909.65,1796.94,1831.5218830585227,,2.0011500000000524,1.4177693351378657,7.465499675938864,0.2590770352467189,69.21811694147732,6.31253268174708,6.31253268174708,47.87181069648102,73.53994302641308,Q1_low
2023-01-13 14:35:00,2023-01-13 15:00:00,L,1896.36,1893.60196,1893.60196,1901.87607,-1.0,sl,-5.52,0.34,-5.86,4.9,7,False,25.0,1896.36,1897.06,1895.91,1896.69,785,1.7803546122585832,27.70502655312474,1900.508465246597,1901.7747955288437,1.1499999999998636,1890.2026126364535,0.2590770352467189,51.48578072525022,1909.65,1833.17,1909.65,1796.94,1831.5218830585227,,2.758039999999937,1.5491520515123942,3.458517376903373,0.2590770352467189,64.83811694147721,7.464804993618832,7.464804993618832,35.49292908553544,55.84280755948627,Q2
2023-01-13 15:30:00,2023-01-13 16:40:00,L,1897.98,1907.19004,1893.37498,1907.19004,2.0,tp,18.42,0.34,18.08,22.98,8,True,70.0,1897.98,1898.51,1896.31,1897.38,1121,2.0502228686505184,44.63753251036171,1897.7688238206606,1899.8266948236956,2.2000000000000455,1890.5836866507102,0.38107401425668286,55.56191295736829,1909.65,1833.17,1909.65,1796.94,1831.5218830585227,,4.605019999999968,2.2461070308083375,3.6075655297700173,0.38107401425668286,66.45811694147733,5.69206410602639,5.69206410602639,31.61119749028001,49.28244706708677,Q2
2023-01-16 16:10:00,2023-01-17 03:50:00,L,1914.12,1913.24,1911.19725,1919.96551,-0.301,time,-1.76,0.34,-2.1,20.88,9,False,700.0,1914.12,1914.41,1912.7,1913.26,453,1.4275317583944438,44.43211372925333,1913.8457961157615,1914.8766596280734,1.7100000000000364,1907.295442484419,0.32304316390127497,52.05868471660312,1928.85,1867.01,1928.85,1796.94,1834.7614170562276,,2.922749999999951,2.0474150454538336,4.780669484548979,0.32304316390127497,79.35858294377226,10.318509492613297,10.318509492613297,33.001017121317766,82.08573946669537,Q1_low
2023-01-20 16:15:00,2023-01-20 16:30:00,L,1924.82,1923.04208,1923.04208,1928.37584,-1.0,sl,-3.56,0.34,-3.9,16.98,9,False,15.0,1924.82,1924.82,1923.48,1923.91,647,1.6791957656462033,37.80882470850922,1926.3437180844544,1927.6031482170836,1.3399999999999181,1920.3576944695099,0.18621655226502298,50.77168825615776,1937.39,1893.58,1937.39,1796.94,1847.1043404840682,58.506597626180685,1.7779199999999946,1.0587925698560818,2.6574063738023184,0.18621655226502298,77.71565951593175,7.4857263561302885,7.4857263561302885,18.604144102267878,76.1555040908455,Q2
