symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
XAUUSD,0.0,665,50.38,0.511,1.8,61.5,33.15
XAUUSD,0.15,567,47.27,0.418,1.61,38.5,18.5
XAUUSD,0.3,435,44.14,0.324,1.44,23.1,7.68
XAUUSD,0.5,274,41.97,0.259,1.34,7.7,-2.18
XAUUSD,0.8,85,43.53,0.306,1.42,0.0,-14.47
