entry_time,exit_time,side,entry,sl,tp,exit,qty,pnl,balance_after,result,exit_minus_entry,cumulative_pnl
2025-06-06 23:05:00+00:00,2025-06-06 23:15:00+00:00,buy,83.36,82.95,83.77,83.77,243.90243902439227,100.0,10100.0,win,0.4099999999999966,100.0
2025-06-06 23:25:00+00:00,2025-06-06 23:45:00+00:00,buy,83.86,83.1,84.62,84.62,132.89473684210438,101.00000000000001,10201.0,win,0.7600000000000051,201.0
2025-06-06 23:55:00+00:00,2025-06-07 01:00:00+00:00,buy,87.17,83.59,90.75,83.59,28.494413407821245,-102.01,10098.99,loss,-3.5799999999999983,98.99
2025-06-07 03:05:00+00:00,2025-06-07 04:20:00+00:00,buy,86.94,83.49,90.39,83.49,29.272434782608673,-100.9899,9998.0001,loss,-3.450000000000003,-1.999900000000011
2025-06-07 05:25:00+00:00,2025-06-08 12:25:00+00:00,buy,86.48,83.12,89.84,83.12,29.755952678571433,-99.980001,9898.020099,loss,-3.3599999999999994,-101.97990100000001
2025-06-08 16:15:00+00:00,2025-06-08 17:15:00+00:00,sell,83.49,87.03,79.94999999999999,87.03,27.96050875423724,-98.98020099,9799.03989801,loss,3.5400000000000063,-200.96010199
2025-06-08 17:55:00+00:00,2025-06-09 01:45:00+00:00,buy,87.19,83.75,90.63,83.75,28.485581098866298,-97.9903989801,9701.0494990299,loss,-3.4399999999999977,-298.9505009701
2025-06-09 02:00:00+00:00,2025-06-09 07:05:00+00:00,sell,83.65,87.52,79.78000000000002,87.52,25.067311367002386,-97.010494990299,9604.0390040396,loss,3.8699999999999903,-395.960995960399
2025-06-09 07:30:00+00:00,2025-06-09 14:25:00+00:00,sell,84.02,87.76,80.27999999999999,87.76,25.679248673902613,-96.040390040396,9507.998613999203,loss,3.740000000000009,-492.001386000795
2025-06-09 15:50:00+00:00,2025-06-09 16:35:00+00:00,buy,88.89,85.39,92.39,85.39,27.16571032571201,-95.07998613999203,9412.918627859211,loss,-3.5,-587.081372140787
2025-06-09 19:30:00+00:00,2025-06-10 16:30:00+00:00,buy,87.74,84.33,91.14999999999999,91.14999999999999,27.603866943868685,94.12918627859212,9507.047814137804,win,3.4099999999999966,-492.95218586219494
2025-06-10 20:10:00+00:00,2025-06-10 21:40:00+00:00,buy,87.52,87.03999999999999,88.0,88.0,198.06349612786929,95.07047814137805,9602.118292279183,win,0.480000000000004,-397.8817077208169
