symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
NZDUSD,0.0,1489,45.6,0.368,1.46,38.5,16.83
NZDUSD,0.15,1251,43.41,0.302,1.32,15.4,3.1
NZDUSD,0.3,951,41.01,0.23,1.2,7.7,-3.14
NZDUSD,0.5,589,38.54,0.156,1.09,0.0,-9.46
NZDUSD,0.8,232,37.5,0.125,1.03,0.0,-10.5
