entry_time,exit_time,side,entry,sl,tp,exit,qty,pnl,balance_after,result,exit_minus_entry,cumulative_pnl
2025-01-24 15:10:00+00:00,2025-01-24 16:20:00+00:00,sell,19.235,19.2624,19.2076,19.2624,3649.635036496338,-100.0,9900.0,loss,0.02740000000000009,-100.0
2025-01-24 17:05:00+00:00,2025-01-24 17:40:00+00:00,buy,19.28124,19.2406,19.32188,19.32188,2436.023622047257,99.00000000000001,9999.0,win,0.04063999999999979,-0.9999999999999858
2025-01-24 18:55:00+00:00,2025-01-24 19:05:00+00:00,buy,19.3221,19.3003,19.343899999999998,19.343899999999998,4586.697247706647,99.99000000000001,10098.99,win,0.02179999999999893,98.99000000000002
2025-01-24 19:15:00+00:00,2025-01-24 22:05:00+00:00,buy,19.3442,19.3136,19.3748,19.3136,3300.323529411793,-100.9899,9998.0001,loss,-0.03059999999999974,-1.9998999999999825
2025-01-24 23:10:00+00:00,2025-01-24 23:25:00+00:00,buy,19.3261,19.310200000000002,19.342,19.310200000000002,6288.050377359095,-99.980001,9898.020099,loss,-0.01589999999999847,-101.97990099999998
2025-01-27 00:45:00+00:00,2025-01-27 01:20:00+00:00,buy,19.330199999999998,19.2837,19.376699999999996,19.376699999999996,2128.606472903308,98.98020099,9997.000299989999,win,0.04649999999999821,-2.9997000099999838
2025-01-27 01:30:00+00:00,2025-01-27 09:50:00+00:00,buy,19.3966,19.3403,19.4529,19.4529,1775.6661278845393,99.97000299989999,10096.9703029899,win,0.05630000000000024,96.9703029899
2025-01-27 10:10:00+00:00,2025-01-27 12:45:00+00:00,buy,19.4543,19.3881,19.5205,19.5205,1525.2221001495666,100.969703029899,10197.940006019799,win,0.06619999999999848,197.940006019799
2025-01-27 12:55:00+00:00,2025-01-27 13:20:00+00:00,buy,19.528,19.4629,19.593099999999996,19.593099999999996,1566.5038411705364,101.97940006019799,10299.919406079996,win,0.0650999999999975,299.919406079997
2025-01-27 13:45:00+00:00,2025-01-28 11:30:00+00:00,buy,19.615299999999998,19.5194,19.711199999999995,19.5194,1074.0270496434143,-102.99919406079997,10196.920212019197,loss,-0.09589999999999677,196.920212019197
2025-01-28 15:10:00+00:00,2025-01-28 15:55:00+00:00,sell,19.4814,19.5133,19.4495,19.4495,3196.526712231697,101.96920212019197,10298.889414139388,win,-0.03190000000000026,298.889414139389
2025-01-28 18:15:00+00:00,2025-01-28 18:20:00+00:00,sell,19.5155,19.548099999999998,19.4829,19.4829,3159.1685319447306,102.98889414139389,10401.878308280782,win,-0.03259999999999863,401.87830828078285
2025-01-28 20:15:00+00:00,2025-01-28 21:05:00+00:00,sell,19.4886,19.5036,19.473600000000005,19.5036,6934.5855388552345,-104.01878308280783,10297.859525197975,loss,0.014999999999997016,297.859525197975
2025-01-28 21:35:00+00:00,2025-01-28 23:55:00+00:00,sell,19.4836,19.5042,19.462999999999997,19.462999999999997,4998.960934561705,102.97859525197975,10400.838120449955,win,-0.020600000000001728,400.8381204499548
2025-01-29 00:05:00+00:00,2025-01-29 02:50:00+00:00,sell,19.4349,19.495549999999998,19.37425,19.495549999999998,1714.894991005792,-104.00838120449954,10296.829739245455,loss,0.06064999999999898,296.82973924545524
2025-01-29 04:05:00+00:00,2025-01-29 04:10:00+00:00,sell,19.4881,19.5018,19.4744,19.5018,7515.934116237534,-102.96829739245456,10193.861441853001,loss,0.013700000000000045,193.86144185300068
2025-01-29 04:40:00+00:00,2025-01-29 05:00:00+00:00,sell,19.486900000000002,19.5033,19.470500000000005,19.5033,6215.769171862608,-101.93861441853002,10091.922827434471,loss,0.016399999999997306,91.92282743447066
2025-01-29 06:15:00+00:00,2025-01-29 06:20:00+00:00,sell,19.4858,19.4954,19.476200000000002,19.476200000000002,10512.419611912066,100.91922827434472,10192.842055708816,win,-0.009599999999998943,192.8420557088154
2025-01-29 06:30:00+00:00,2025-01-29 09:25:00+00:00,sell,19.4703,19.493399999999998,19.447200000000006,19.493399999999998,4412.485738402867,-101.92842055708815,10090.913635151728,loss,0.0230999999999959,90.91363515172725
2025-01-29 10:00:00+00:00,2025-01-29 12:40:00+00:00,sell,19.4638,19.497999999999998,19.4296,19.4296,2950.5595424421595,100.90913635151729,10191.822771503246,win,-0.034199999999998454,191.82277150324455
2025-01-29 12:50:00+00:00,2025-01-29 13:45:00+00:00,sell,19.428900000000002,19.4649,19.392900000000004,19.392900000000004,2831.061880973296,101.91822771503246,10293.740999218278,win,-0.03599999999999781,293.740999218277
2025-01-29 14:30:00+00:00,2025-01-29 15:30:00+00:00,sell,19.3917,19.4314,19.352,19.4314,2592.8818637829518,-102.9374099921828,10190.803589226096,loss,0.039699999999999847,190.80358922609423
