symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
AUDJPY,0.0,401,46.13,0.384,1.47,46.2,21.21
AUDJPY,0.15,343,42.57,0.277,1.28,30.8,9.95
AUDJPY,0.3,273,41.76,0.253,1.2,7.7,-2.4
AUDJPY,0.5,158,36.08,0.082,1.03,0.0,-11.92
AUDJPY,0.8,51,33.33,-0.0,0.97,0.0,-24.67
