symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
CADCHF,0.0,1560,48.72,0.462,1.68,69.2,35.33
CADCHF,0.5,479,42.59,0.278,1.32,30.8,9.97
CADCHF,0.15,1242,44.44,0.333,1.43,23.1,7.98
CADCHF,0.3,864,44.1,0.323,1.39,23.1,7.64
CADCHF,0.8,127,44.09,0.323,1.4,0.0,-3.91
