symbol,htf_strength_min,trades,WR_%,exp_R,PF,q_pass_%,score
USDCHF,0.0,1519,47.53,0.426,1.6,61.5,30.3
USDCHF,0.15,1203,45.47,0.364,1.44,46.2,20.55
USDCHF,0.3,884,44.34,0.33,1.4,30.8,11.73
USDCHF,0.5,522,41.95,0.259,1.29,15.4,1.65
USDCHF,0.8,181,42.54,0.276,1.33,0.0,-5.46
